sentence1,sentence2,drug
"This observational, real-world, postapproval study evaluated long-term outcomes among people with CF and an R117H variant on ivacaftor using data from the US Cystic Fibrosis Foundation Patient Registry.","BACKGROUND
We characterized people with cystic fibrosis (CF) ineligible by genotype (not age) for currently approved CFTR modulator therapy using data from the US CF Foundation Patient Registry (CFFPR).",Cystic fibrosis
"BACKGROUND
Elexacaftor-tezacaftor-ivacaftor (ETI) represents a significant step forward in cystic fibrosis (CF) care and could change the course of CF lung disease and quality of life for many people with CF (PwCF).","BACKGROUND
Longitudinal data on changes in health-related quality of life (HRQoL) in adult people with cystic fibrosis (pwCF) and the longitudinal effects of Elexacaftor/Tezacaftor/Ivacaftor therapy (ETI) on HRQoL or HRQoL domains are currently scarce.",Cystic fibrosis
"This retrospective, observational study assessed real-world clinical response to ivacaftor in people with CF with ≥1 of these mutations, using data from the US Cystic Fibrosis Foundation Patient Registry.","BACKGROUND
We characterized people with cystic fibrosis (CF) ineligible by genotype (not age) for currently approved CFTR modulator therapy using data from the US CF Foundation Patient Registry (CFFPR).",Cystic fibrosis
Class Ia/b cystic fibrosis transmembrane regulator (CFTR) variants cause severe lung disease in 10% of cystic fibrosis (CF) patients and are untreatable with small-molecule pharmaceuticals.,Safety and efficacy data surrounding cystic fibrosis transmembrane regulator (CFTR) modulator administration for people with CF (pwCF) and severe lung disease elect has remained unclear as a result of exclusion from key trials.,Cystic fibrosis
"CONCLUSIONS
ETI decreases the number of exacerbations, increases lung function and nutritional parameters, decrease in all isolated microorganisms, for 30 months of treatment.",Conclusion: PwCF not eligible for inclusion in clinical trials demonstrated improvement in lung function and nutritional status following the initiation of treatment with the ETI combination.,Cystic fibrosis
Introduction: Triple-combination cystic fibrosis transmembrane conductance regulator (CFTR) modulator therapy with elexacaftor/tezacaftor/ivacaftor (ETI) was introduced in August 2020 in Germany for people with CF (pwCF) ≥12 years (yrs.),Safety and efficacy data surrounding cystic fibrosis transmembrane regulator (CFTR) modulator administration for people with CF (pwCF) and severe lung disease elect has remained unclear as a result of exclusion from key trials.,Cystic fibrosis
"BACKGROUND
Phase 3 trials of elexacaftor/tezacaftor/ivacaftor (ELX/TEZ/IVA) combination treatment in people with cystic fibrosis (CF) with ≥1 F508del-CFTR allele showed profound short-term effects on lung function, weight, and pulmonary exacerbations (PEx).","BACKGROUND
Longitudinal data on changes in health-related quality of life (HRQoL) in adult people with cystic fibrosis (pwCF) and the longitudinal effects of Elexacaftor/Tezacaftor/Ivacaftor therapy (ETI) on HRQoL or HRQoL domains are currently scarce.",Cystic fibrosis
Our aim was to determine whether adjuvant oral prednisone treatment would improve recovery of forced expiratory volume in 1 s (FEV1) % pred in CF pulmonary exacerbations not responding to antibiotic therapy.,"CONCLUSIONS
This study failed to detect a difference in FEV1 % pred recovery between adjuvant oral prednisone and placebo treatment in pwCF not responding at day 7 of i.v.",Cystic fibrosis
"BACKGROUND
This single-center, retrospective study evaluated the effects of de-escalating cystic fibrosis (CF) supportive therapies in patients on elexacaftor/tezacaftor/ivacaftor (ETI).","BACKGROUND
Longitudinal data on changes in health-related quality of life (HRQoL) in adult people with cystic fibrosis (pwCF) and the longitudinal effects of Elexacaftor/Tezacaftor/Ivacaftor therapy (ETI) on HRQoL or HRQoL domains are currently scarce.",Cystic fibrosis
"Outcomes of interest were overall survival, lung transplant, percent predicted forced expiratory volume in 1 s (ppFEV1), body mass index (BMI), pulmonary exacerbations (PEx), outpatient visits and hospitalisations.","In CF, forced expiratory volume in 1 s (FEV1) referenced against a healthy population (FEV1%predicted) and body mass index (BMI) do not allow for the comparison of disease severity across age and gender.",Cystic fibrosis
