sentence1,sentence2,drug
"To clarify the interactions between the pathogen SCBZSX5 and plants, metabolomics analyses revealed that 211 differential metabolites were mainly enriched in amino acid metabolism and flavonoid metabolism.","LC-MS-based metabolomics revealed negative responses in the lipid metabolism (e.g., steroid biosynthesis, glycerophospholipid metabolism, and sphingolipid metabolism), the amino acid metabolism (e.g., glutamate, histidine, arginine, and proline), and the B-vitamins metabolism.",Proline
"Amino acid metabolomics revealed significant improvements in serum levels of arginine, citrulline, proline, ornithine, creatine, creatinine, and sarcosine in MI rats, which are key compounds in the arginine metabolism pathway.","LC-MS-based metabolomics revealed negative responses in the lipid metabolism (e.g., steroid biosynthesis, glycerophospholipid metabolism, and sphingolipid metabolism), the amino acid metabolism (e.g., glutamate, histidine, arginine, and proline), and the B-vitamins metabolism.",Proline
"The transgenic poplar plants overexpressing PeMPK17 demonstrated attenuated phenotypic injury, higher relative water content in leaves, and lower ion leakage under pHBA stress.","Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
"Homozygous transgenic maize lines overexpressing ZmSUS1 increased the content and activity of SUS under drought stress and exhibited higher relative water content, proline and abscisic acid content in leaves.","Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
"In addition, the improved salinity tolerance of EgAP2.25 transgenic plants was mainly attributed to higher antioxidant enzyme activities, increased proline and soluble sugar content, reduced H2O2 production, and lower MDA accumulation.","Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
"Overexpressing MiCOL6, MiCOL7A or MiCOL7B in transgenic plants increased superoxide dismutase (SOD) and proline levels, decreased malondialdehyde (MAD) levels, and improved survival under drought and salt stress.","Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
"The metabolomics study indicated that S. indica alone in normal growth conditions and under As stress released pentadecanoic acid, glycerol tricaprylate, L-proline and cyclo(L-prolyl-L-valine).","The findings of the study indicated that salt stress decreased plant growth and development, photosynthetic activity, and mineral and hormone content [excluding abscisic acid (ABA)] in bean seedlings.",Proline
"The study investigated morphological, anatomical, and physiological adaptations in plant tissues in response to 240ʵM of K2Cr2O7, considering elemental distribution patterns and bioaccumulation potential.","To our knowledge, no study has yet investigated the possible role of vermicompost and EM dual application in enhancing plant tolerance to water scarcity.",Proline
The contents of H2O2 and ascorbic acid increased in all drought-exposed tomato plants and then decreased upon rewatering.,"Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
It reduced the MDA content (14-55%) and intercellular CO2 concentration of red clover seedlings under salt stress.,"Exogenous proline reduced activity of the NADP-MDH enzyme and decreased expression of the AOX and NADP-MDH genes, mainly in transgenic plants under water stress.",Proline
