sentence1,sentence2,drug
"CONCLUSION
These findings provide new scientific insights into the molecular mechanisms of growth hormone signaling in white clover and its functional characteristics in response to environmental stress.","These findings provide new insights into the aroma characteristics of jasmine tea scented with single-petal jasmine ""Bijian"" and support its application and promotion in tea production.",Indole
"Finally, Corynebacterium and Clostridium_sensu_stricto_1 in the fecal samples were positively correlated with the abundance of 11,12-EET (epoxy-eicosatrienoic acid), (±)18-HEPE, (±)15-HEPE, and (±)12-HEPE in the serum.","Other serum metabolites, such as (±)12-HEPE (hydroxy eicosapentaenoic acid), (±)15-HEPE, (±)18-HEPE, cytidine, uracil, and 5-hydroxyindole-3-acetic acid, were negatively correlated with the serum concentrations of estradiol and progesterone.",Indole
"In this study, we report the characterization of four Pseudomonas strains isolated from the rhizosphere of the common duckweed (Lemna minor) with IAA-degradation and -utilization ability.","In this study, we report the activity of four additional enzymes that show that the proposed pathway is incorrect and that Nature's route towards pyrroloiminoquinones is much more complicated.",Indole
"Overall, these findings identify ILA as a new potential anti-inflammatory remyelinating agent and provide novel insights into the role of gut dysbiosis-related metabolic alterations in MS progression.","These findings provide new insights into the aroma characteristics of jasmine tea scented with single-petal jasmine ""Bijian"" and support its application and promotion in tea production.",Indole
"OBJECTIVE
Twelve novel thiazole-containing the 5-fluoro-1,3-dihydro-2H-indol-2-one derivatives as sunitinib analogs were designed and synthesized, and their anticancer activity was evaluated against the NCI-60 cancer cell lines.","Compounds 5 and 6 were evaluated against several cancer cell lines, as the previous report lacked biological activity studies.",Indole
"Further results showed that reduced relative abundance of five probiotics, namely Lactobacillus johnsonii, Lactobacillus murinus, Lactobacillus vaginalis, Lactobacillus reuteri and Bifidobacterium animalis, positively correlated with decreased levels of indole-3-pyruvic acid, indole-3-aldehyde and tryptamine and negatively correlated with increased levels of indole-3-lactic acid and indole-3-acetic acid in serum of MN rats.","KEY RESULTS
Impaired renal function correlated with the relative abundance of reduced faecal probiotics, Lactobacillus and Bifidobacterium, and altered serum levels of tryptophan-produced indole derivatives (TPIDs) in MN rats.",Indole
"CONCLUSION
These findings provide new scientific insights into the molecular mechanisms of growth hormone signaling in white clover and its functional characteristics in response to environmental stress.","Conclusion
As there is limited high-quality evidence and multiple omics research in this field, the explored candidate biomarkers and pathways may provide new insights into the early diagnosis and drug resistance mechanisms of CA-MRSA infection in Chinese women.",Indole
"CONCLUSIONS
This in vitro experimental study suggests that koumine suppresses the H2O2-induced activation of inflammatory pathways, oxidative injury, ER stress, apoptosis and autophagy, which provide a rationale for therapeutically use in major intestinal diseases.",The findings of the study highlighted a lack of hydrogen bond acceptor feature in Raltitrexed and Lanifibranor which is responsible for partial activation of PPARγ that plays a critical role in preventing lipid accumulation.,Indole
"Inhibition constants for these new inhibitors ranged from Ki = 0.6-18 nM (cathepsin L) and Ki = 2.6-124 nM (3CL-PR), for which inhibitors with the 2-pyridon-3-yl-alanal substituent were the most potent for 3CL-PR.","The absence of these hydrogen bonds for the inhibitors containing the 3-pyridinyl-alanyl and 1,3-oxazo-4-yl-alanyl groups was reflected in the less potent inhibition of the inhibitors with 3CL-PR.",Indole
"Interestingly, treatment with JCK-7158 enhanced the expression of plant defense-related genes in salicylic acid, jasmonic acid, ethylene, and reactive oxygen species (ROS) signaling pathways before and after FHB pathogen inoculation.","The biochar-related treatments reduced sodium content of the plants, leading to a decline in osmolytes, antioxidant enzymes activities, reactive oxygen species (ROS), lipid peroxidation, NADP reduction, abscisic acid, jasmonic acid, and salicylic acid in dill leaf tissues.",Indole
