sentence1,sentence2,drug
"In this study, we assessed the antineoplastic effects of various liposomal formulations for the codelivery of Cur and 5FU to MCF-7 breast cancer cells.",We found that curcumin treatment abrogated the expression of TGF-β in M2 macrophages and suppressed their ability to induce chemoresistance in breast cancer cells.,Curcumin
"Through the integration of nano-informatics and in vitro approaches, our study determined that PLA-PEG-PLA-CUR is an optimal system for delivering curcumin to inhibit cancer cells.",We found that curcumin treatment abrogated the expression of TGF-β in M2 macrophages and suppressed their ability to induce chemoresistance in breast cancer cells.,Curcumin
Rescue experiments showed that MACC1 overexpression can reverse the antitumor effect of curcumin in colorectal cancer cells and M2 polarization of TAMs.,We found that curcumin treatment abrogated the expression of TGF-β in M2 macrophages and suppressed their ability to induce chemoresistance in breast cancer cells.,Curcumin
This work underscores the potential of glucose-functionalized polymers and ROS-responsive Ru(II) complexes in targeted cancer therapy.,The instability of curcumin's structure and the toxic side effects of piperlongumine have limited their potential applications in cancer treatment.,Curcumin
"Conclusion
Curcumin can be a significant efflux inhibitor as an adjuvant in combination with aminoglycosides for successful treatment of patients infected by P. aeruginosa overexpressing the MexXY-OprM efflux pump.","Conclusion
The present study suggested that curcumin may not be a useful adjuvant agent in the management of patients with BID receiving sodium valproate as treatment.Clinical trial registration: Iranian Registry of Clinical Trials (IRCT), identifier IRCT2016102530504N1.",Curcumin
"Conclusion
These results suggest that the combination of curcumin and vitamin D reduced HMGB-1 mRNA levels in infected mice, highlighting the potential of this combination as an antimicrobial and anti-inflammatory agent.","Conclusion
Despite the well-documented antibacterial and anti-inflammatory properties of curcumin powder in literature, considering the results of the present study we cannot suggest curcumin powder as successful alternative obturation material for treating deciduous teeth.",Curcumin
These findings provide a new mechanism to account for the effects of curcumin in inducing apoptosis and reducing paclitaxel resistance in ovarian cancer cells.,We found that curcumin treatment abrogated the expression of TGF-β in M2 macrophages and suppressed their ability to induce chemoresistance in breast cancer cells.,Curcumin
Nanonization of poorly water-soluble drugs has shown great potential in improving their oral bioavailability by increasing drug dissolution rate and adhesion to the gastrointestinal mucus.,"Many classes of molecules have been explored as potential drugs in vitro, but their inability to work in vivo by crossing the blood-brain-barrier has made them an inadequate treatment option.",Curcumin
"RESULTS
In this study, we found that ferroptosis's inhibitors specifically reversed the curcumin-induced cell death pattern in HCC.","RESULTS
In this study, we showed that L48H37 suppressed TPA-stimulated invasive and migratory capacities of NPC cell lines and gave rise to very little cytotoxic responses.",Curcumin
"CONCLUSION
This study is the first to reveal the synergistic action of curcumin and tigecycline, highlighting its potential as a combined therapeutic strategy against tigecycline-resistant gram-negative pathogens with various resistance mechanisms.","Although there is currently a lack of specific interventions to mitigate or prevent hepatotoxicity in chemotherapy-treated patients, the polyphenol compound curcumin has emerged as a potential strategy to overcome this adverse effect.",Curcumin
