sentence1,sentence2,drug
"BACKGROUND
Glucagon-like peptide-1 receptor agonists (GLP-1RA) and sodium-glucose co-transporter-2 inhibitors (SGLT-2I) are associated with significant cardiovascular benefit in type 2 diabetes (T2D).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"OBJECTIVE
To evaluate the comparative efficacy and safety of glucagon-like peptide-1 receptor agonists (GLP-1RAs) on glycaemic control, body weight, and lipid profile in adults with type 2 diabetes.","BACKGROUND
To date, no studies have addressed the comparative efficacy of glucagon-like peptide-1 receptor agonists (GLP1-RAs) therapy on body composition and anthropometric indices among adult overweight or obese patients with or without type 2 diabetes.",Glucagon
"BACKGROUND
Glucagon-like peptide 1 receptor agonists have been shown to reduce all-cause and cardiovascular mortality in patients with Type 2 diabetes mellitus (T2DM).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"AIM
Sodium-glucose cotransporter 2 inhibitors (SGLT2is) and glucagon-like peptide-1 receptor agonists (GLP-1RAs) improve glycaemic control and cardio-renal outcomes for people with type 2 diabetes (T2D).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"BACKGROUND
Sodium-glucose cotransporter 2 inhibitors (SGLT2is) and glucagon-like peptide-1 receptor agonists (GLP-1 RAs) reduce the risk of major adverse cardiovascular events (MACE) in patients with type 2 diabetes mellitus (T2DM).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"BACKGROUND
Two classes of newer glucose-lowering drugs (GLDs), sodium-glucose cotransporter-2 inhibitors and glucagon-like peptide-1 receptor agonists, improve cardiovascular and renal outcomes among patients with type 2 diabetes (T2D).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"INTRODUCTION
Recent cardiovascular outcomes trials have demonstrated that glucagon-like peptide 1 receptor agonist (GLP-1RA) decreases the incidence of major adverse cardiovascular events (MACEs) in individuals with type 2 diabetes mellitus (T2DM).","However, the effect of tirzepatide on incidence of type 2 diabetes (T2D) in individuals with overweight and obesity, and the effect on major adverse cardiovascular outcomes in individuals with pre-existing T2D, remains unknown.",Glucagon
"AIMS
To compare the risk of vision-threatening retinopathy between glucagon-like peptide-1 receptor agonists (GLP-1 RA) use and no use in patients with type 2 diabetes.","BACKGROUND
To date, no studies have addressed the comparative efficacy of glucagon-like peptide-1 receptor agonists (GLP1-RAs) therapy on body composition and anthropometric indices among adult overweight or obese patients with or without type 2 diabetes.",Glucagon
"INTRODUCTION
Recent trials have shown that glucagon-like peptide-1 receptor agonists considerably reduce atherosclerotic cardiovascular disease in patients with type 2 diabetes mellitus (T2DM).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
"Aims
This study aimed to clarify the renal influence of glucagon-like peptide 1 receptor agonists (GLP1Ras) with or without sodium-glucose co-transporter 2 inhibitors (SGLT2is) on Japanese patients with type 2 diabetes mellitus (T2DM).","BACKGROUND
Renal outcomes in patients with type 2 diabetes following treatment with sodium-glucose co-transporter-2 inhibitors (SGLT2is) or glucagon-like peptide-1 receptor agonists (GLP1RAs) have not been directly compared.",Glucagon
Several trials reported the protective effect of injectable semaglutide on cardiovascular (CV) risk by reducing major adverse cardiovascular events in type 2 diabetes patients.,"However, the effect of tirzepatide on incidence of type 2 diabetes (T2D) in individuals with overweight and obesity, and the effect on major adverse cardiovascular outcomes in individuals with pre-existing T2D, remains unknown.",Glucagon
"AIM
Sodium-glucose cotransporter 2 inhibitors (SGLT2is) and glucagon-like peptide-1 receptor agonists (GLP-1RAs) improve glycaemic control and cardio-renal outcomes for people with type 2 diabetes (T2D).","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
"The aims of the preset study was to investigate the cognitive protection of incretin-based therapies, including glucagon-like peptide-1 receptor agonists and dipeptidyl peptidase-4 inhibitors, in patients with type 2 diabetes mellitus.","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
The dual activation of glucagon-like peptide-1 receptor (GLP-1R) and glucose-dependent insulinotropic polypeptide receptor (GIPR) has emerged as a promising therapeutic strategy for managing type 2 diabetes and obesity.,A combination of sodium glucose cotransporter 2 (SGLT2) inhibitor dapagliflozin (DAPA) and glucagon-like peptide-1 receptor agonist (GLP1-RA) exenatide (ExQW) has not been explored as a treatment strategy for T2DM patients with obesity.,Glucagon
"PURPOSE
This study aimed to evaluate the relative association between sodium-glucose cotransporter-2 inhibitors (SGLT2i) and glucagon-like peptide-1 receptor agonists (GLP-1Ra) with the incidence of gout in patients with type 2 diabetes (T2D) using real-world data.","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
"Glucagon-like peptide-1 receptor agonists (GLP-1RAs) and sodium-glucose cotransporter-2 (SGLT2) inhibitors are guideline-recommended therapies for the management of type 2 diabetes (T2D), atherosclerotic cardiovascular disease, heart failure, and chronic kidney disease.","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
"BACKGROUND
Sodium-glucose cotransporter 2 inhibitors (SGLT2is) and glucagon-like peptide-1 receptor agonists (GLP-1 RAs) reduce the risk of major adverse cardiovascular events (MACE) in patients with type 2 diabetes mellitus (T2DM).","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
"Importance
The latest guidelines continue to recommend sodium-glucose cotransporter 2 (SGLT2) inhibitors and glucagon-like peptide-1 receptor agonists (GLP-1 RAs) for patients with type 2 diabetes (T2D) and established cardiovascular disease (CVD).","For women of reproductive years living with type 2 diabetes, the relative merits of using non-insulin pharmacotherapies vs diabetes technology (dipeptidyl peptidase-4 inhibitors, glucagon-like peptide-1 receptor agonists and sodium-glucose cotransporter 2 inhibitors) are unknown.",Glucagon
