sentence1,sentence2,drug
"Overall, there was a positive association between SUA and CVD mortality among participants with NAFLD (per SD μmol/L increment, adjusted hazard ratio [HR], 1.40; 95% confidence interval [CI], 1.16-1.68).","However, there was no significant association between SUA and CVD mortality among participants without NAFLD (per SD μmol/L increment, adjusted HR, 1.01; 95% CI, 0.83-1.22).",Uric acid
"RESULTS
MR analysis revealed a causal relationship between a genetically predicted increase in SUA and diabetic nephropathy [OR = 1.32, 95%(CI) = 1.07-1.63, p = 0.008].","There was no significant causal relationship between the genetically predicted increase in SUA and diabetic retinopathy [OR 1.09, 95%(CI) = 0.94-1.26, p = 0.249] or diabetic neuropathy [OR = 1.08, 95%(CI) = 0.84-1.40, p = 0.549].",Uric acid
This study aimed to examine the association of serum uric acid (SUA) levels with prevalence and long-term mortality of MAFLD in a nationally representative sample of US adults.,"The aim of this study was to examine trends in serum uric acid (SUA) levels over a recent 5-year period according to age, sex, obesity, and abdominal obesity among Korean children and adolescents.",Uric acid
"RESULTS
Overall, SUA was significantly associated with depressive symptoms/depression in post-menopause women (β = -0.39, 95 % CI: -0.60, -0.17) after adjusted potential confounders.","However, SUA was not associated with depressive symptoms in pre-menopause women (β = 0.1, 95 % CI: -0.25, 0.46).",Uric acid
"BACKGROUND
This study aimed to examine the association of serum uric acid levels with incident cardiovascular disease and mortality in Korean adults without gout.","The aim of this study was to examine trends in serum uric acid (SUA) levels over a recent 5-year period according to age, sex, obesity, and abdominal obesity among Korean children and adolescents.",Uric acid
"Stratified analysis showed that, in patients with obesity (defined as body mass index (BMI) ≥ 25.0 kg/m2), significant differences were observed in AST, ALT, and γ-GTP changes from baseline to 104 weeks between treatment groups.","However, in patients without obesity, there were no significant differences in AST and γ-GTP changes from baseline to 104 weeks between treatment groups.",Uric acid
"BACKGROUND
This study aimed to examine the association of serum uric acid levels with incident cardiovascular disease and mortality in Korean adults without gout.",This study aimed to investigate the association between MetS components and levels of serum hs-CRP and SUA using representative and reliable data for the Korean population.,Uric acid
"Multiple logistic regression analysis showed that H. pylori infection was associated with an increased risk of gout independent of serum uric acid level in hyperuricemia population (odds ratio [OR]: 1.320, 95% confidence interval [CI]: 1.124-1.550, P = 0.001).","In multivariable logistic regression models, hyperuricemia was not associated with a significantly increased risk of AKI (adjusted Odds Ratio [OR]: 1.58; 95% confidence interval [CI]: 0.81-3; P = .17).",Uric acid
"Multiple logistic regression unveiled a significant association between hyperuricemia and heightened hypertension risk (adjusted odds ratio [OR] = 1.44; 95% confidence interval [CI], 1.05-1.98; p = 0.022).","In multivariable logistic regression models, hyperuricemia was not associated with a significantly increased risk of AKI (adjusted Odds Ratio [OR]: 1.58; 95% confidence interval [CI]: 0.81-3; P = .17).",Uric acid
"Serum UA was significantly linked with hypertension in a multivariate logistic regression model adjusted for all variables (odds ratio [OR]: 1.22, 95% confidence interval [CI]: 1.15-1.28, P < .001).","In multivariable logistic regression models, hyperuricemia was not associated with a significantly increased risk of AKI (adjusted Odds Ratio [OR]: 1.58; 95% confidence interval [CI]: 0.81-3; P = .17).",Uric acid
