sentence1,sentence2,drug
"Congenital heart disease (CHD) affecting the conotruncal region of the heart, occurs in 40-50% of patients with 22q11.2 deletion syndrome (22q11.2DS).","BACKGROUND
There is little information of progestogen-only contraceptives in patients with congenital heart disease (CHD) on the long-term.",Congenital heart disease
"BACKGROUND
Atrial tachycardia (AT) and atrial fibrillation (AF) coexist in 30% of congenital heart disease (CHD) patients.","BACKGROUND
Existing studies were no exploration of the association between congenital heart disease (CHD) in children and comorbidities.",Congenital heart disease
"BACKGROUND
Atrial tachycardia (AT) and atrial fibrillation (AF) coexist in 30% of congenital heart disease (CHD) patients.","BACKGROUND
There is little information of progestogen-only contraceptives in patients with congenital heart disease (CHD) on the long-term.",Congenital heart disease
"The European Society of Cardiology guidelines for the management of adult congenital heart disease patients recommend screening for arrhythmias and bradycardias in symptomatic patients, often being done by means of an ambulatory 24-48-hour Holter or implantable loop recorder (ILR).","Comprehensive guidance for the prevention and management of acquired heart disease in ACHD patients is currently not available, as this topic has not been covered by the European Society of Cardiology (ESC) guidelines on cardiovascular disease prevention or the ESC guidelines for the management of ACHD.",Congenital heart disease
Lower airway abnormalities were identified in 37/180 (21%) of patients and 33/129 (26%) with congenital heart disease (CHD).,"BACKGROUND
Very few data have been published on the use of subcutaneous implantable cardioverter-defibrillators (S-ICDs) in patients with congenital heart disease (CHD).",Congenital heart disease
This case reports the implantation of a dual-chamber leadless pacemaker in a patient with univentricular heart physiology and contributes to the literature regarding the management option in complex adult congenital heart disease patients with conduction abnormalities.,"However, previous case reports regarding the management of laparoscopic surgery in adult patients with congenital heart disease are limited.",Congenital heart disease
"Congenital heart disease (CHD) affecting the conotruncal region of the heart, occurs in 40-50% of patients with 22q11.2 deletion syndrome (22q11.2DS).","Background Despite an increasing number of patients with congenital heart disease (CHD) reaching reproductive age, the fertility of these patients remains undescribed.",Congenital heart disease
"BACKGROUND
Atrial tachycardia (AT) and atrial fibrillation (AF) coexist in 30% of congenital heart disease (CHD) patients.","BACKGROUND
The effectiveness of fetal echocardiography in reducing the mortality from congenital heart disease (CHD) is largely unknown.",Congenital heart disease
"BACKGROUND
The use of ECMO as a bridge to heart transplantation has been growing rapidly in all heart transplant recipients since the implementation of the new UNOS allocation policy; however, the impact on adult congenital heart disease (ACHD) patients is not known.","BACKGROUND
Risk prediction of arrhythmia during pregnancy in adult congenital heart disease (ACHD) patients is currently lacking, and the impact of preconception catheter ablation on future antepartum arrhythmia has not been studied.",Congenital heart disease
"Aims
To define the cohort of adult congenital heart disease (ACHD) patients undergoing catheter ablation for supraventricular arrhythmia in a large tertiary centre, characterise outcomes, and determine factors associated with arrhythmia recurrence.","BACKGROUND
Risk prediction of arrhythmia during pregnancy in adult congenital heart disease (ACHD) patients is currently lacking, and the impact of preconception catheter ablation on future antepartum arrhythmia has not been studied.",Congenital heart disease
"The survival rate in the first admission of children with T18 who did and did not have congenital heart disease was 58.3% and 94.1%, respectively.","BACKGROUND
Educational attainment in children with congenital heart disease (CHD) within the UK has not been reported, despite the possibility of school absences and disease-specific factors creating educational barriers.",Congenital heart disease
"The survival rate in the first admission of children with T18 who did and did not have congenital heart disease was 58.3% and 94.1%, respectively.","In addition, the survival of patients with hypertrophic or restrictive cardiomyopathy and adult congenital heart disease was not affected by size matching based on the PHMr (0.601 and 0.079, respectively, p = 0.873).",Congenital heart disease
"Congenital heart disease (CHD) affecting the conotruncal region of the heart, occurs in 40-50% of patients with 22q11.2 deletion syndrome (22q11.2DS).","BACKGROUND
Very few data have been published on the use of subcutaneous implantable cardioverter-defibrillators (S-ICDs) in patients with congenital heart disease (CHD).",Congenital heart disease
"Nirsevimab, a monoclonal antibody with an extended half-life, is approved for the prevention of respiratory syncytial virus (RSV) disease in all infants in Canada, the EU, Great Britain, and the USA.","BACKGROUND
Data describing respiratory syncytial virus (RSV) neutralizing antibody (nAb) levels for nirsevimab, a recently approved, extended half-life, anti-RSV fusion protein (F protein) monoclonal antibody, relative to the previous standard of care, palivizumab, have not been reported.",Congenital heart disease
Aortic coarctation is diagnosed in approximately 5% of adult patients with congenital heart disease and is commonly diagnosed through the close examination of hypertension.,"BACKGROUND
There is little information of progestogen-only contraceptives in patients with congenital heart disease (CHD) on the long-term.",Congenital heart disease
