sentence1,sentence2,drug
"Results
Overall, enamel roughness was notably elevated in the control group, with the eggless plain mayonnaise (0.52 ± 0.38) and thousand island dressing groups (0.57 ± 0.29) showing a significant increase in surface roughness post-test (p = 0.05).","Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
"KEY RESULTS
In slides of quiescent ovaries treated with PRP, a marked and widespread positivity to Ki-67 was expressed by 40-60% of the follicular wall cells at 48h of culture.","Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
"After slow acidification, where the cells were cultured in TSB supplemented with glucose 1% (TSB + G), a significant increase (p < 0.05) in survival was observed for all strains evaluated.","Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
A bio-TEM study of treated and untreated bacterial cells revealed that the CoOx(1 wt%)/4%Sn/Zr-Fe2O3 NRs photocatalyst led to considerable changes in the bacterial cell membranes' morphology.,"Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
"Alginate played a significant role in selectively removing dye, and the catalyst effectively removed 80.36% of MB and, in contrast, 20% of methyl orange (MO).","The synthesis is a one-pot, seedless procedure in which chloroauric acid is reduced by sodium citrate in the presence of methyl orange (MO).",Orange
"In this context, the present study aimed to develop a new efficient method for the isolation of torularhodin from the red yeast Rhodotorula strain ELP2022 by applying the extraction technique with supercritical CO2 (CO2-SFE) in two sequential steps.","Since there are no data on the selective recovery of torularhodin from red yeast using the SFE technique, this study may be a good starting point to optimize and support the development of industrial production of torularhodin by microbial synthesis.",Orange
The long-term stability and effective catalytic potential up to five repeated cycles of biogenic PdNPs have good significance for acceleration the degradation of azo dyes.,"However, magnetic COFs with pyridinic N have not been studied as bifunctional materials for the adsorption and catalytic degradation of dyes.",Orange
"Bis(4-phenylthieno[3,2-c]pyridinato-N,C2')(acetylacetonate)iridium(III) (PO-01)-doped devices with three-, two-, and one-region doping configurations exhibit maximum external quantum efficiency (EQE) values of 22.8%, 21.7%, and 11.2%, respectively, which are the highest reported to date for orange single-layer OLEDs.","The lower productions obtained with rice husk (7.7 wt %) and orange peel (5.5 wt %) are associated with their higher ash and fixed carbon content, respectively, which limit the efficiency of biomass conversion to bio-oil.",Orange
Hydrothermal and wet impregnation methods are presented in this study for synthesizing CoOx(1 wt%)/Sn/Zr-codoped Fe2O3 nanorod photocatalysts for the degradation of organic pollutants and deactivation of bacteria.,This study addresses the challenges of low detection precision and limited generalization across various ripeness levels and varieties for large non-green-ripe citrus fruits in complex scenarios.,Orange
"This study comprehensively analyzes carotenoid accumulation in different tissues of the Brassica rapa mutant ""YB1"", which exhibits altered flower and root colors.","CONCLUSION
In this study the low expression of MALATI and HOTAIR resulted in the high level of MDA, DNA damage, and reduced motility of sperm.",Orange
"In conclusion, our study underscores the health benefits of black carrots due to their rich polyphenolic content and endorses orange carrots for elevated β-carotene levels.","Numerous health benefits have been attributed in the last decades to the regular consumption of fruits, vegetables, herbs and spices, along with honey, in a balanced diet.",Orange
"Following eight weeks of treatment, we observed altogether significant improvement in patients' cognitive performance (b = 0.30, p < .001), and patients with comparatively high cognitive gain showed noticeably lower, but not significantly lower F(1,98) = 3.76, p = .058, expression of a dark turquoise module, which reflects complement and B-cell-associated immune processes.","Three immune modules reflected distinct but interrelated immune processes (the yellow module: neutrophil-mediated immunity, the darkorange module: interferon signaling, the tan module: platelet activation), and higher expression of the yellow (r = -0.21, p < .05), the dark orange (r = 0.2, p < .05), and the tan (r = -0.23, p < .05) module correlated significantly negatively with patients' cognitive baseline performance.",Orange
"This study investigated the potential health benefits of spearmint, orange peel, and baby sage oleoresins extracted using supercritical CO2 and subsequently emulsified.","Conclusions and Relevance
In this cross-sectional study of migraine, the results highlighted gender differences in migraine prevalence and associated health comorbidities among US veterans.",Orange
"The adsorption results have shown that the (Cs20B80), 20 % wt of (Cs) and 80 % (B), was selected as the best adsorbent for (MB) and (RO16) dyes.","However, magnetic COFs with pyridinic N have not been studied as bifunctional materials for the adsorption and catalytic degradation of dyes.",Orange
"This study comprehensively analyzes carotenoid accumulation in different tissues of the Brassica rapa mutant ""YB1"", which exhibits altered flower and root colors.","Conclusions and Relevance
In this cross-sectional study of migraine, the results highlighted gender differences in migraine prevalence and associated health comorbidities among US veterans.",Orange
"The present work aimed to study oxidative damage and protection, phenylpropanoid metabolism, and the quality of minimally processed colored sweet potatoes cultivated with increments in P2O5 fertilization.","The current study sought to understand gender differences in how much children value personal attractiveness, whether age is associated with valuing personal attractiveness, and the role of gender identity development.",Orange
"CONCLUSION
The study indicates that the orange-flavored dispersible zinc sulfate tablet is well-accepted by children aged 3 to 59 months with acute diarrhoea in Lagos, Nigeria.","The current study sought to understand gender differences in how much children value personal attractiveness, whether age is associated with valuing personal attractiveness, and the role of gender identity development.",Orange
"A device showed good biocompatibility when culturing HT-29 cells for 48 and 72 h with 97 % and 98 % cell viability, respectively.","All 14 analysed quinolones showed a substantial reduction in bioavailability when co-administered with antacids and mineral supplements, except for calcium preparations.",Orange
"The polyphenol-rich matrices reduced the fat content of obese worms in the wild-type strain (N2) down to levels of untreated C. elegans, with no significant differences found between negative control (100% reduction) and both tested samples (p < 0.05).","Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
"In addition, the CeO2@ZIF-8 loaded starch/agarose films were prepared for the portable and recyclable remediation of real dye wastewater, which maintained more than 80% degradation efficiency after 5 successive cycles.","Weak binding affinity, deficiency in H-bonding interactions, and the absence of interactions between the azo (-NN-) group and active residues of the model laccase enzyme were responsible for the low degradation efficiency of AO7.",Orange
The aim of this study was to identify subgingival microorganisms using a real-time polymerase chain reaction (PCR) in a group of children and adolescents aged 7-17 years with and without cardiovascular disease.,"The current study sought to understand gender differences in how much children value personal attractiveness, whether age is associated with valuing personal attractiveness, and the role of gender identity development.",Orange
"Ni/Zn@orange/chitosan showed an acceptable ability to remove dyes of Congo red and methyl orange from an aqueous solution after 80 min furthermore, it uptaking the drug mefenamic acid from a solution.","Evidence of an association between dementia and exposure to chemicals such as Agent Orange from the Vietnam War is still limited, and there is a reported lack of awareness.",Orange
"In conclusion, our study underscores the health benefits of black carrots due to their rich polyphenolic content and endorses orange carrots for elevated β-carotene levels.","However, the lack of genomic resources for cold-resistant sweet orange varieties has hindered the progress in developing such varieties and researching their molecular mechanisms of cold resistance.",Orange
"This study investigated the acute effects of combinations of BC extracts, high (H-BC) and low (L-BC) (poly)phenol concentrations, sweet orange extracts (SO) and fibre-rich orange pulp (F) in reducing postprandial glycaemia.","CONCLUSION
In this study the low expression of MALATI and HOTAIR resulted in the high level of MDA, DNA damage, and reduced motility of sperm.",Orange
The Y-tube olfactometer results showed significant attractiveness of the synthetic stereospecific and racemic sex pheromones to S. mosellana males relative to the blank control (P < 0.001).,"Result In our investigation of oral cancer cells treated with capsaicin, there was a significant drop in cell viability between the control and treatment groups (p < 0.05).",Orange
