sentence1,sentence2,drug
"BACKGROUND
Development of esophageal strictures is common after the total laryngectomy of head and neck cancer patients.","BACKGROUND AND PURPOSE
The association between smoking and acute radiation toxicities of head and neck cancer (HNC) is currently unproven.",Dysphagia
"(2020) reported a case of subacute non-infectious epiglottitis associated with e-cigarette use in a pediatric patient (Pediatrics 145(3), 2020).","To our knowledge, there has been no such reported case of epiglottitis associated with e-cigarette use in an adult patient.",Dysphagia
"Objective
To evaluate the diagnostic value of the gag reflex in patients with neurogenic oropharyngeal dysphagia and adults without it.",This review also highlights the critical lack of tools and techniques to assess and treat dysphagia in patients with disorders of consciousness.,Dysphagia
This study aimed to determine the association between the progressive contraction of the posterior pharyngeal wall and dysphagia in postoperative patients with tongue cancer.,This review also highlights the critical lack of tools and techniques to assess and treat dysphagia in patients with disorders of consciousness.,Dysphagia
Background This study prospectively analyzed the clinical significance of tubarial glands (TGs) doses in head and neck cancer (HNC) patients.,"BACKGROUND AND PURPOSE
The association between smoking and acute radiation toxicities of head and neck cancer (HNC) is currently unproven.",Dysphagia
"We report a 39-year-old Indian woman with diabetes who presented to the emergency department with a sore throat, hoarseness, dysphagia, and stridor for two days.","We present the case of a 92-year-old woman with no relevant history, who consulted for sore throat, progressive dysphagia to solids and fever.",Dysphagia
"BACKGROUND
Transoral incisionless fundoplication (TIF) is safe and effective in select patients with hiatal hernias ≤ 2 cm with refractory gastroesophageal reflux disease (GERD).","BACKGROUND
The prevalence of gastroesophageal reflux disease (GERD) and laryngopharyngeal reflux (LPR) in post-irradiated patients with nasopharyngeal carcinoma (NPC) is unknown.",Dysphagia
"We present the case of a 45-year-old man who attended medical attention for persistent and progressive dysphagia, who was diagnosed with neuroendocrine carcinoma of the oesophagus.","We present the case of a 92-year-old woman with no relevant history, who consulted for sore throat, progressive dysphagia to solids and fever.",Dysphagia
Background This study prospectively analyzed the clinical significance of tubarial glands (TGs) doses in head and neck cancer (HNC) patients.,"Currently, no objective method exists to measure the extent of fibrosis in swallowing musculature in head and neck cancer (HNC) patients.",Dysphagia
We present the case of a 70-year-old male who presented in 2023 with dysphagia due to an esophageal polyp; surgery was recommended.,"We present the case of a 92-year-old woman with no relevant history, who consulted for sore throat, progressive dysphagia to solids and fever.",Dysphagia
This study aimed to assess the impact of oropharyngeal dysphagia on pneumonia risk requiring hospitalization in neurological patients on long-term enteral tube feeding.,This review also highlights the critical lack of tools and techniques to assess and treat dysphagia in patients with disorders of consciousness.,Dysphagia
"BACKGROUND
This study aimed to assess the long-term effect of level IIb clinical target volume (CTV) optimisation on survival, xerostomia, and dysphagia in patients with nasopharyngeal carcinoma (NPC).",This review also highlights the critical lack of tools and techniques to assess and treat dysphagia in patients with disorders of consciousness.,Dysphagia
This retrospective study investigated the impact of presarcopenic dysphagia (PSD) on 1-year mortality in patients with cancer and dysphagia who underwent a videofluoroscopic swallowing study (VFSS).,"However, there is a lack of accurate studies on the nutritional status of stroke patients with dysphagia and its associated factors in different phases of stroke.",Dysphagia
This systematic review and meta-analysis aimed to estimate the prevalence of presbyphagia in older adults without disease-related dysphagia.,This review also highlights the critical lack of tools and techniques to assess and treat dysphagia in patients with disorders of consciousness.,Dysphagia
"Case presentation
We present the case of a 78-year-old female who swallowed an acrylic partial denture leading to progressive dysphagia and a vegetative ulcerative lesion on endoscopy.","We present the case of a 92-year-old woman with no relevant history, who consulted for sore throat, progressive dysphagia to solids and fever.",Dysphagia
