sentence1,sentence2,drug
"METHODS
This retrospective study reviewed paper-based medical records with available stool examination results of 33 U5 children hospitalized with acute diarrhea in Savannakhet Provincial Hospital, Lao PDR between Jan. 2018 and Dec. 2019.",No study has been done to investigate the etiologic pathogens of acute diarrhea and the risk factors associated with dehydration status among U5 children hospitalized with acute diarrhea in this region.,Dehydration
"The 2018 outbreak had 43,996 cases and 836 deaths, with a CFR of 2% in 20 states, a 240% increase from 2017.","However, cases of dietary supplement-induced Fanconi syndrome are rare, and detailed reports on the evaluation of renal histology in patients with this syndrome are lacking.",Dehydration
"The 2018 outbreak had 43,996 cases and 836 deaths, with a CFR of 2% in 20 states, a 240% increase from 2017.","A proportional decrease in energy barrier with a sequential increase in the number of TS sites (3-, 5-, and 7-) is not observed.",Dehydration
The study included all patients operated on with elective anterior resection and temporary ileostomy for rectal cancer clinically staged I-III in Sweden in 2007-2016.,"However, cases of dietary supplement-induced Fanconi syndrome are rare, and detailed reports on the evaluation of renal histology in patients with this syndrome are lacking.",Dehydration
"For this analysis, we used cross-sectional data from a total of 102, 6-36 months old male children who suffered from non-cholera acute watery diarrhea and had some dehydration admitted to an urban diarrheal hospital, in Bangladesh.","In this report, we present an environmentally friendly method for producing DRC from low-concentration and low-pressure CO2 via a dehydration condensation approach without the use of halogenated alkylating agents.",Dehydration
"The 2018 outbreak had 43,996 cases and 836 deaths, with a CFR of 2% in 20 states, a 240% increase from 2017.","In this report, we present an environmentally friendly method for producing DRC from low-concentration and low-pressure CO2 via a dehydration condensation approach without the use of halogenated alkylating agents.",Dehydration
"In addition, oral administration of 107 TCID50 CH/LNFX/2022 to newborn piglets successfully reproduced obvious clinical signs of piglets, such as diarrhea and dehydration.","Greater than 50% of pemphigus patients experience relapse, which complicates long-term medical management, including risks associated with re-treatment and complications such as infection and dehydration.",Dehydration
We conducted a retrospective study over a 5-year period in two major tertiary hospitals in the Romanian capital with the aim to characterize the clinical picture and the dynamics of liver function tests in children with confirmed adenovirus infection.,"To date, there has not been enough participants in clinical trials on concomitant SGLT2 inhibitor and angiotensin receptor-neprilysin inhibitor therapy to evaluate the benefits and risks of combination therapy with these two agents outside of smaller subgroup analyses.",Dehydration
"We determined the proportion of UTI, bacterial aetiology, and antimicrobial susceptibility patterns and associated factors among under-five children at the district hospital between March and April 2023.",No study has been done to investigate the etiologic pathogens of acute diarrhea and the risk factors associated with dehydration status among U5 children hospitalized with acute diarrhea in this region.,Dehydration
"Conclusions
Resistance to inexpensive antibiotics for treatment of invasive diarrhoea in children under ten years is widespread (although data on 6- to 10-year-old children are limited), and resistance rates to fluoroquinolones and later-generation cephalosporins are increasing.","Calves arriving to veal and dairy-beef facilities in poor condition are at risk of future health challenges and reduced growth rates, and limited knowledge is available on how time in transit affects subsequent health and growth of these animals.",Dehydration
"Coconut oil is an efficient substitute for xylene in prostate tissues with a minimum clearing time of 4hrs, as it is environmentally friendly and less expensive, but causes significant shrinkage to prostate tissue.","In this report, we present an environmentally friendly method for producing DRC from low-concentration and low-pressure CO2 via a dehydration condensation approach without the use of halogenated alkylating agents.",Dehydration
"Within 24 h postoperatively, despite euglycaemia and normalisation of the cardiovascular status, the patient developed progressive polyuria (up to 14 ml/kg/h).","The study identified key barriers to adherence, including inadequate staff understanding of guidelines, inconsistent patient instructions, and changes in operating room schedules.",Dehydration
"METHODS
A random sample of patients aged 5 years or older presenting with diarrhoea to the icddr,b Dhaka Hospital in Bangladesh between Jan 30 and Dec 13, 2022 were included in this prospective cohort study.","The relationship between paediatric diarrhoea treatment guidelines with the nutritional status is not yet investigated, and this study primarily aims to examine the relationship of recommended diarrhoea case management practices with paediatric undernutrition (wasting, stunting and underweight) among children aged between 0 to 59 months.",Dehydration
"On the other hand, the 'Gold Heart' cultivar benefited from alginate supplementation with 5 ppm AgNPs and 5-15 ppm ZnONPs, leading to an over 28% increase in the survival rate of shoot tips.","To date, there has not been enough participants in clinical trials on concomitant SGLT2 inhibitor and angiotensin receptor-neprilysin inhibitor therapy to evaluate the benefits and risks of combination therapy with these two agents outside of smaller subgroup analyses.",Dehydration
"BACKGROUND
This paper aims to estimate the prevalence of antibiotic use for diarrhea among under-five children (u5c) in low- and middle-income countries (LMICs) using data from 112 Demographic Health Surveys (DHS) conducted between 2006 and 2018.","The relationship between paediatric diarrhoea treatment guidelines with the nutritional status is not yet investigated, and this study primarily aims to examine the relationship of recommended diarrhoea case management practices with paediatric undernutrition (wasting, stunting and underweight) among children aged between 0 to 59 months.",Dehydration
"Extensive workup excluded common causes of salt-wasting and revealed a novel variant of unknown significance on the sonic hedgehog (SHH) gene; NM_000193.4:c.755_757del (p.Phe252del), in heterozygosity.","However, cases of dietary supplement-induced Fanconi syndrome are rare, and detailed reports on the evaluation of renal histology in patients with this syndrome are lacking.",Dehydration
"The patient was hospitalized with a serum creatinine level of 3.45 mg/dL, urea level of 188 mg/dL, and estimated glomerular filtration rate of 22 mL/1.72 m2; septicemia developed and was treated with antibiotics.","However, its use is prohibited in patients with an estimated glomerular filtration rate <30 mL/min/1.73 m2 , due to the risk of potentially lethal metformin-associated lactic acidosis (MALA).",Dehydration
"The 2018 outbreak had 43,996 cases and 836 deaths, with a CFR of 2% in 20 states, a 240% increase from 2017.","Therefore, a 12-h fast from food and water as done in this study will not likely affect laboratory test results of biomarker concentration.",Dehydration
"The 2018 outbreak had 43,996 cases and 836 deaths, with a CFR of 2% in 20 states, a 240% increase from 2017.","Oven-drying promoted the accumulation of terpenes such as octatriene, trans-β-ocimene, cyclohexanone, copaene, and ɑ-irone, imparting a soft aroma of flowers, fruits, and sweet.",Dehydration
"BACKGROUND
This paper aims to estimate the prevalence of antibiotic use for diarrhea among under-five children (u5c) in low- and middle-income countries (LMICs) using data from 112 Demographic Health Surveys (DHS) conducted between 2006 and 2018.",No study has been done to investigate the etiologic pathogens of acute diarrhea and the risk factors associated with dehydration status among U5 children hospitalized with acute diarrhea in this region.,Dehydration
