sentence1,sentence2,drug
"However, there was an association between galcanezumab and wearing-off effect in patients with chronic migraine with a pooled risk ratio of 1.91 (95% CI 1.11 to 3.28) compared to placebo group.",There was no association between CGRP mAbs and wearing-off effect in patients with galcanezumab with a pooled risk ratio of 1.29 (95% CI 0.73 to 2.28) compared to placebo group.,Migraine
"Clinically important HTE was present in vomiting MBS for resolution of MBS and present in nausea MBS for pain freedom and pain relief after 2 h, need for rescue medication, and sustained pain freedom at 24 h post-treatment.","There was no clinically relevant HTE in the nausea MBS group for resolution of MBS at 2 h, absence of all migraine-associated symptoms and sustained pain relief at 24 h, or for any endpoint for other MBS subtypes.",Migraine
"BACKGROUND
Monoclonal antibodies directed against the neuropeptide calcitonin gene-related peptide (CGRP) are effective in the prevention of chronic and frequent episodic migraine.","BACKGROUND
Safety data on the use of migraine preventive monoclonal antibodies targeting the calcitonin gene-related peptide (CGRP) system in pregnancy are limited.",Migraine
"RESULTS
Single cell analysis of onabotA pretreatment effects on CSD-induced activation and sensitization of central trigeminovascular neurons in the SPV revealed the ability of this neurotoxin to prevent activation and sensitization of WDR neurons (13/20 (65%) vs. 4/16 (25%) activated neurons in the control vs. treated groups, p = 0.022, Fisher's exact).","By contrast, onabotA pretreatment effects on CSD-induced activation and sensitization of HT neurons had no effect on their activation (12/18 (67%) vs. 4/7 (36%) activated neurons in the control vs. treated groups, p = 0.14, Fisher's exact).",Migraine
There was a statistically significant association between AH and previous history of migraine (odds ratio [OR]: 4.9; 95% confidence interval [CI] 1.62-14.7; p = 0.005) and 3D angiography (OR 6.62; 95%CI: 2.04-21.5; p = 0.002).,"There was no association between a ≥50% reduction in MHDs and the number of previous doses of the first mAb (odds ratio [OR] 1.0; 95% confidence interval [CI] 1.0, 1.1; p = 0.189) or the inter-treatment interval (OR 1.0; 95% CI 0.9, 1.1; p = 0.914).",Migraine
"OBJECTIVE
To compare the real-world effectiveness and tolerability of calcitonin gene-related peptide (CGRP) monoclonal antibodies (mAbs) and onabotulinumtoxinA in chronic migraine (CM) patients.","BACKGROUND
Safety data on the use of migraine preventive monoclonal antibodies targeting the calcitonin gene-related peptide (CGRP) system in pregnancy are limited.",Migraine
This retrospective single-center real-life study aims to evaluate the efficacy of a 2:1 ketogenic diet and a Low-Glycemic-index Diet in chronic and high-frequency episodic migraine.,This is the first real-world study from Thailand to describe the efficacy of CGRP mAbs therapy in migraine patients and to analyze the response trends between episodic migraine and chronic migraine.,Migraine
"Results
MR analysis revealed that although psoriasis was reported to increase the risk of Parkinson's disease (OR = 4.42, 95%CI[-3.81～6.79], P = 0.58) and epilepsy (OR = 4.71, 95%CI[-2.20～5.30], P = 0.42) in this study, they did not reach statistical significance.","At the same time, this study did not observe that psoriasis would increase the risk of multiple sclerosis (OR = 0.01, 95%CI [-12.61～3.83], P = 0.30) and migraine (OR = 0.99, 95%CI [0.94～1.05], P = 0.78), they also did not reach statistical significance.",Migraine
"BACKGROUND
Monoclonal antibodies (mAbs) targeting the calcitonin gene-related peptide (CGRP) pathway have been tested extensively in several clinical trials for both episodic and chronic migraine, showing high effectiveness, safety, and tolerability; however, there are no prospective real-world studies intending to compare their efficacy and safety.","Monoclonal antibodies (mAbs) targeting the calcitonin gene-related peptide (CGRP) pathway are novel migraine preventive treatments that have shown promising efficacy in patients with migraine; however, there have been no reports regarding their efficacy in HM to date.",Migraine
"RESULTS
There was a significant association between genetically predicted SLE susceptibility and increased risk of migraine with aura [odds ratio (OR) = 1.05, 95% confidence interval (CI) = 1.02-1.08, p = .001].","There was no association between migraine and the absence of ischemic penumbra (16/63 [25%] vs. 12/55 [22%]; odds ratio 1.22, 95% confidence interval 0.52-2.87; p = 0.64).",Migraine
