sentence1,sentence2,drug
"CASE PRESENTATION
We report the case of a 54-year-old male who presented with recurrent clinical symptoms three and a half weeks after severe falciparum malaria.",This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"RESULTS
Among 1,374 case subjects and 2,748 control subjects, the odds of psychosis and mania were increased for individuals with past-month prescription amphetamine use compared with no use (adjusted odds ratio=2.68, 95% CI=1.90-3.77).","Past-month methylphenidate use was not associated with increased odds of psychosis or mania compared with no use (adjusted odds ratio=0.91, 95% CI=0.54-1.55).",Psychosis
"FINDINGS
Use of high-potency cannabis at age 16 or 18 was associated with twice the likelihood of experiencing incident psychotic experiences from age 19-24 (Odds Ratio 2.15, 95% Confidence Intervals 1.13-4.06).","There was less evidence for an effect of any cannabis use on incident psychotic experiences (Odds Ratio 1.45, 95% Confidence Intervals 0.94-2.12).",Psychosis
This report describes the case of a 52-year-old man with recurrent depression who developed a bupropion-induced psychotic episode following an increase in dose to 300 mg/day.,Severity of psychotic symptoms was not associated with the use of inpatient ECT suggesting an opportunity to increase the use of ECT in this population.,Psychosis
"The baseline resting-state functional magnetic resonance imaging data were acquired from 122 first-episode drug-naïve schizophrenia patients and 128 healthy controls (HCs), and 44 patients were rescanned after 1-year of antipsychotic treatment.","However, only a few prospective studies have examined baseline resting-state functional magnetic resonance imaging data in drug-naïve first-episode schizophrenia patients with regard to subsequent treatment response.",Psychosis
The predictive power of speech marker-based models of schizotypy significantly improved after including symptom scores of depression and generalized anxiety in the models (from R2 = 0.296 to R2 = 0.,"However, to date, the complex relationship between alterations in speech related to schizotypy and those related to comorbid conditions such as symptoms of depression and anxiety has not been investigated.",Psychosis
"RESULTS
Of the 4,487 patients in the registry, 9.5% presented acute psychosis, with a median age of thirty-two years and 79% male.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
"OBJECTIVE
Widespread use of diagnostic tools like the Structured Interview for Prodromal Symptoms (SIPS) has highlighted that youth at Clinical High Risk for Psychosis (CHR-P) present with heterogeneous symptomatology.","This debate piece argues that youth meeting the criteria for clinical high risk for psychosis cannot be assessed and treated with the same tools as adults, given that they often present with different patterns and timecourse of symptoms, age-specific comorbidities and follow different pathways to care.",Psychosis
"Over the past decade, there has been extensive research on the mismatch negativity (MMN) and its promise as a biomarker of illness in people with schizophrenia (SZ).","However, the association of parenting style with illness severity in individuals with schizophrenia has never been evaluated retrospectively or over a longitudinal time course.",Psychosis
"Objective
To describe MPV, total platelet count (PLT), and NLR between healthy controls and patients with schizophrenia to determine the correlation between these parameters and the duration of untreated psychosis (DUP).","OBJECTIVE
The relationship between the duration of untreated psychosis (DUP) and cognitive function in schizophrenia (SZ) patients remains debated, with no empirical evidence from event-related potential (ERP) studies supporting their association.",Psychosis
"Conclusion
This study showed that HIV testing and care was accessible at a psychiatric hospital but the prevalence of HIV in people living with recent onset psychosis remains high.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
"CONCLUSION
Among older individuals with a mental illness who underwent a major surgical procedure, mental health assessment was associated with 25% increased odds of a postoperative textbook outcome.","On multivariable analysis, mental health assessment remained independently associated with higher odds of achieving a textbook outcome (odds ratio 1.25, 95% confidence interval 1.12-1.39; P < .001).",Psychosis
The present study seeks to explore the influence of traditional versus non-traditional mental health clinical placements on second-year nursing students' stigmatising beliefs and intentions to seek help for mental health issues.,"Based on the different categories of high school students' sense of hope, the program of mental health education can be reasonably selected to create a positive general environment for mental health education and ultimately enhance the mental health of high school students.",Psychosis
This is an observational case-control study with 238 patients admitted to the acute care unit for psychotic episodes between December 2003 and September 2011.,"LIMITATIONS
This is an observational study without a control group, so we were unable to compare the effectiveness of ACT-D to other usual care for depression.",Psychosis
"METHOD
A cross-sectional study was conducted in the Psychiatric Hospital of the Cross, Lebanon during September 2022 recruiting selected in-patients diagnosed with schizophrenia.","Overall, there was a striking absence of systematic differences by race in the trajectories of psychiatric symptoms and functioning among Veterans during the study period.",Psychosis
This case report describes a 69-year-old immunocompetent female who developed acute visual and auditory hallucinations three days after starting TMP-SMX for a urinary tract infection (UTI).,This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"This paper presents a rare case of an asymptomatic colo-ovarian fistula in a 45-year-old female with acute psychosis and a history of bipolar disorder, seizure disorder and substance misuse.",This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"CONCLUSIONS
In agreement with increasing empirical evidence, also the results of the current study suggest that AP need is a significant prognostic variable in cohorts of CHR-P individuals and should be included in risk calculators.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
This report describes a 35-year-old incarcerated Korean-American male with a history of unspecified psychosis who presented for antipsychotic induced catatonia after administration of haloperidol decanoate intramuscular (200 mg across the span of 1 week).,This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"OBJECTIVE
Widespread use of diagnostic tools like the Structured Interview for Prodromal Symptoms (SIPS) has highlighted that youth at Clinical High Risk for Psychosis (CHR-P) present with heterogeneous symptomatology.","BACKGROUND
Despite evidence suggesting that age moderates the response to preventative treatment for those at clinical high risk of psychosis (CHR-P), no meta-analysis has assessed the effectiveness of preventative interventions for CHR-P children and adolescents.",Psychosis
"It was associated with lifetime and daily cannabis use among UK Biobank participants without psychosis, but the effect was substantially reduced when CUD PRS was included in the model.",Schizophrenia PRS was not associated with patterns of cannabis use in the EU-GEI cases or controls or UK Biobank cases.,Psychosis
"Results from these studies show that the flexibility of transmembrane 3 is key to unbiased signaling, with a ~30° and ~17° shift in tilt angle in the D3R-Gi and D3R-βarrestin2 complexes, respectively.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.",None of the predictor variables was associated with cognitive impairment.Conclusion: This study identified female sex and respiratory comorbidity as crucial risk factors for PCS.,Psychosis
"FINDINGS
Use of high-potency cannabis at age 16 or 18 was associated with twice the likelihood of experiencing incident psychotic experiences from age 19-24 (Odds Ratio 2.15, 95% Confidence Intervals 1.13-4.06).","CONCLUSION
Our findings suggest that the initial period of tight market restriction following legalization of non-medical cannabis was not associated with an increase in health service use or frequency of psychotic disorders.",Psychosis
"BACKGROUND
Mismatch negativity reductions are among the most reliable biomarkers for schizophrenia and have been associated with increased risk for conversion to psychosis in individuals who are at clinical high risk for psychosis (CHR-P).","BACKGROUND
Despite evidence suggesting that age moderates the response to preventative treatment for those at clinical high risk of psychosis (CHR-P), no meta-analysis has assessed the effectiveness of preventative interventions for CHR-P children and adolescents.",Psychosis
"RESULTS
Baseline NEET status was identified in 172 patients (49%) and was significantly associated with mean duration of untreated psychosis (p = .035).",Migrant status and the duration of untreated psychosis were not associated with discharge destination.,Psychosis
"This case study presents the unusual occurrence of a 39-year-old female patient who presented to the emergency department with encephalitis, headaches, and auditory hallucinations after recent glucocorticoid use.",This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.",The restricted legalization period was not associated with changes in rates of ED visits for cannabis-induced psychosis relative to pre-legalization.,Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.","Conclusions
BDZ exposure in CHR-P individuals was not associated with a reduction in the risk of psychosis transition or other adverse clinical outcomes.",Psychosis
"OBJECTIVE
This study examined atypical antipsychotic prescribing by Food and Drug Administration (FDA) approved-use (on-label) status for adolescents before and during the COVID-19 pandemic.",There is no treatment approved by the United States Food and Drug Administration (FDA) among antipsychotics for Alzheimer's disease Psychosis (ADP).,Psychosis
"RESULTS
Of the 172 people presenting with FEP, 36 (21%) had comorbid HIV, those with both being older and more likely to be female (p < .001).","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
"The results of a multicenter randomized controlled trial showed that gameChange VR cognitive therapy reduces the agoraphobic avoidance of people diagnosed with psychosis, especially for those with severe avoidance.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
"Over the past decade, there has been extensive research on the mismatch negativity (MMN) and its promise as a biomarker of illness in people with schizophrenia (SZ).","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
CASE REPORT A 75-year-old woman with Parkinson's disease-associated psychosis presented 2 weeks after open reduction and internal fixation of a distal third humeral shaft fracture due to failure of fixation and episodes of violent hallucinations.,This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"To evaluate the impact of antipsychotic treatments on hospital admission of patients with synucleinopathies and psychosis in an incident cohort study in Olmsted County, Minnesota (MN).","The effect of childhood trauma on WM performance has yet to be explored in individuals with PLEs, despite consistent associations between trauma, psychosis spectrum symptoms, and WM performance.",Psychosis
We have been particularly interested in understanding the risk for psychosis in this population: Approximately 30% of the individuals with the deletion go on to develop schizophrenia.,"The effect of childhood trauma on WM performance has yet to be explored in individuals with PLEs, despite consistent associations between trauma, psychosis spectrum symptoms, and WM performance.",Psychosis
"Case presentation
We report a case of a 43-year-old woman with multiple sclerosis who developed symptomatic bradycardia after 3 days of treatment with a high dose of methylprednisolone.",This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
"Study Results
Immediate antipsychotic treatment after the onset of psychosis was associated with poor 5-year outcome (adjusted odds ratio [aOR]: 1.8, 95% CI: 1.6-2.1).","Past-month methylphenidate use was not associated with increased odds of psychosis or mania compared with no use (adjusted odds ratio=0.91, 95% CI=0.54-1.55).",Psychosis
"One year later, the patient had a recurrence of neurological symptoms (seizures, dyskinesias and impaired attention), persisting with EDB on EEG.","The patient had a history of depression, successfully treated with mirtazapine a decade ago, and no other psychiatric or medical conditions.",Psychosis
"RESULTS
In 1425 patients with VLOP over 4.29 years (mean) follow up, 197 (13.8%) received a subsequent diagnosis of dementia.","CONCLUSION
The results suggest that music therapy with membranophones proved to be a viable intervention with beneficial results in improving physical, psychological, and social health of people over 18 years of age.",Psychosis
The findings support conducting larger-scale randomized controlled trials to evaluate the effects of online MBIs on reducing suspiciousness/paranoia to mitigate psychosis risk in individuals with high positive schizotypy.,"To our knowledge, there are few randomized controlled trials (RCTs) examining the comparative effect of these commonly endorsed psychosocial interventions in individuals with early psychosis from high-income countries and no such trials from low and middle-income countries (LMICs).",Psychosis
"This cohort study aimed to investigate the associations of loneliness and SRD with various mental health outcomes among 15,512 outpatients from a Dutch mental health service.",The program described in this study leverages local technology centers and community health workers to boost participation in improving access to equitable mental healthcare and increasing health literacy.,Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.","CONCLUSIONS
BDZ exposure in CHR-P individuals was not associated with a reduction in the risk of psychosis transition or adverse clinical outcomes.",Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.","Conclusions and Relevance
In this cross-sectional study, false memories were not associated with the presence of delusions after accounting for confounding variables, and no indication for overlap of neural networks for false memories and delusions was observed on volumetric neuroimaging.",Psychosis
"STUDY OBJECTIVES
This study aimed to estimate the 12-month prevalence of diagnosed sleep disorders among veterans with and without serious mental illnesses (SMI) in Veterans Affairs health record data in 2019.",The program described in this study leverages local technology centers and community health workers to boost participation in improving access to equitable mental healthcare and increasing health literacy.,Psychosis
"Design, Setting, and Participants
This was a prospective cohort study of individuals treated for incident NAPDs in inpatient or outpatient settings between January 1, 2006, and December 31, 2013, and followed up for 5 years.","Design, Setting, and Participants
This was a US national retrospective cohort study of Medicaid patients with no severe somatic illness or schizophrenia or related psychoses who initiated study medication treatment.",Psychosis
"STUDY RESULTS
Use of any antipsychotic was associated with a 33% risk reduction of psychotic relapse (aHR = 0.67; 95% CI 0.60-0.75).","CONCLUSIONS
BDZ exposure in CHR-P individuals was not associated with a reduction in the risk of psychosis transition or adverse clinical outcomes.",Psychosis
This case report presents a 38-year-old male patient with schizophrenia in acute psychosis refractory to several antipsychotics.,This is a case report of a 26-year-old woman with no previous psychiatric history who presented with symptoms and signs suggestive of acute psychosis shortly after starting a postprocedural combination of antimicrobials.,Psychosis
We aimed to examine the impact of epilepsy surgery on psychopathology and quality of life at 1-year post-surgery in a population of patients with epilepsy refractory to medication.,There were no new cases of de novo psychosis and surgery was also associated with a significant improvement in the quality of life scores (p < 0.001).,Psychosis
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.",Semaglutide was not associated with an increased risk of neurological and psychiatric outcomes.,Psychosis
