sentence1,sentence2,drug
"Similarly, when comparing metformin with lifestyle intervention, the risk of diabetes was slightly higher in the metformin group, but this difference was not statistically significant (RR: 1.31, 95% CI: 0.93-1.86).","When comparing metformin with lifestyle intervention to lifestyle intervention alone, no significant difference was observed in the incidence of diabetes (RR: 0.88, 95% CI: 0.74-1.04).",Metformin
"RESULTS
Of 231 796 patients with diabetes mellitus type 2 in the database, 7 539 were T2DM-CKD (3.25%).","However, data on the QOL of patients with type 2 diabetes mellitus (T2DM) receiving metformin-based OAD treatment in Asia are limited.",Metformin
"INTRODUCTION
We evaluated the effectiveness and safety of sodium-glucose cotransporter 2 inhibitor (SGLT2i) add-on treatment in patients with type 2 diabetes mellitus (T2DM) in the real-world setting.","However, data on the QOL of patients with type 2 diabetes mellitus (T2DM) receiving metformin-based OAD treatment in Asia are limited.",Metformin
"CONCLUSION
Our results demonstrate a significant positive impact of ARBs, ACE inhibitors, and CCBs on survival in patients with pancreatic cancer treated with gemcitabine.","Conclusion
Our study results suggest no beneficial impact on overall and cancer-specific survival in endometrial cancer patients who were treated with metformin as part of their diabetes treatment.",Metformin
"OBJECTIVES
We evaluated the efficacy and safety of switching from sitagliptin to ipragliflozin for 24 weeks in obese Japanese patients with inadequately controlled type 2 diabetes.","Nevertheless, there has been no previously published study on the effect of switching from dipeptidyl peptidase-4 inhibitors to sodium-glucose co-transporter 2 inhibitors on the systemic and organic effects in obese Japanese patients with type 2 diabetes.",Metformin
"RESULTS
Genetic proxies for sulfonylureas targets were associated with reduced risk of any stroke (OR=0.062, 95% CI 0.013-0.295, P=4.65×10－4) and any ischemic stroke (OR=0.055, 95% CI 0.010-0.289, P=6.25×10－4), but not with intracranial hemorrhage.","Furthermore, genetic variants in the targets of insulin/insulin analogues, glucagon-like peptide-1 analogues, thiazolidinediones, and metformin were not associated with the risk of any stroke, any ischemic stroke and intracranial hemorrhage.",Metformin
This individual participant data (IPD) network meta-analysis evaluates the relative efficacy and safety of second-line therapies on their own or in combination in older adults with type 2 diabetes mellitus.,"As only a relatively small proportion of trials report results separately for older adults, the relative efficacy and safety of second-line therapies in older adults with type 2 diabetes mellitus are unknown and require further investigation.",Metformin
We used high-resolution peripheral quantitative computed tomography (HR-pQCT) to prospectively evaluate the short-term effect of the SGLT2 inhibitor luseogliflozin on bone strength and microarchitecture in elderly people with T2D.,"CONCLUSIONS
In the pilot trial, we observed no negative effect of 48-week luseogliflozin treatment on bone microarchitecture or bone strength in elderly people with T2D.",Metformin
"OBJECTIVE
To investigate how 12 weeks of treatment with metformin affects the FGF21 signaling pathway in patients with type 2 diabetes (T2D).","However, data on the QOL of patients with type 2 diabetes mellitus (T2DM) receiving metformin-based OAD treatment in Asia are limited.",Metformin
"AIM
To investigate the efficacy and safety of pioglitazone compared to placebo when added to metformin plus dapagliflozin, a sodium-glucose cotransporter-2 (SGLT2) inhibitor, for patients with type 2 diabetes mellitus (T2DM).","AIM
Studies evaluating the cardiovascular safety of pioglitazone show inconsistent results and ischemic heart disease (IHD) risks associated with different anti-diabetic drugs added to metformin uncontrolled type 2 diabetes mellitus (T2DM) are not assessed.",Metformin
"Objective
To evaluate the effect of the 5:2 MR on glycemic control among patients with early type 2 diabetes compared with metformin and empagliflozin.",The effect of changes in caloric intake and macronutrient composition on their circulating levels in patients with type 2 diabetes are unknown.,Metformin
"AIM
To determine the efficacy and safety of once-weekly dulaglutide added to basal insulin in Chinese patients with type 2 diabetes mellitus (T2DM) with inadequate glycaemic control.","AIM
Studies evaluating the cardiovascular safety of pioglitazone show inconsistent results and ischemic heart disease (IHD) risks associated with different anti-diabetic drugs added to metformin uncontrolled type 2 diabetes mellitus (T2DM) are not assessed.",Metformin
"AIM
To compare the effectiveness of sodium-glucose co-transporter-2 inhibitors (SGLT2is) with dipeptidyl peptidase-4 inhibitors (DPP4is) on major liver outcomes (MLO) in patients with type 2 diabetes (T2D) and metabolic dysfunction-associated steatotic liver disease (MASLD).","Nevertheless, there has been no previously published study on the effect of switching from dipeptidyl peptidase-4 inhibitors to sodium-glucose co-transporter 2 inhibitors on the systemic and organic effects in obese Japanese patients with type 2 diabetes.",Metformin
"AIM
To evaluate the long-term safety and efficacy of enavogliflozin 0.3 mg/day added to metformin in patients with type 2 diabetes mellitus.","AIM
Studies evaluating the cardiovascular safety of pioglitazone show inconsistent results and ischemic heart disease (IHD) risks associated with different anti-diabetic drugs added to metformin uncontrolled type 2 diabetes mellitus (T2DM) are not assessed.",Metformin
"Background
Current labelling advises discontinuation of metformin when estimated glomerular filtration rate (eGFR) < 30 ml/min/1.73 m2 due to increased risk of lactic acidosis.","However, its use is prohibited in patients with an estimated glomerular filtration rate <30 mL/min/1.73 m2 , due to the risk of potentially lethal metformin-associated lactic acidosis (MALA).",Metformin
