sentence1,sentence2,drug
"CONCLUSION
In patients with T2DM, independent of testosterone and estradiol, higher DHEA and DHEAS levels are associated with higher BMD and lower risk of osteopenia/osteoporosis in postmenopausal women but not men over the age of 50.","However, DHEA and DHEAS levels in men over the age of 50 with T2DM were not associated with any of above outcomes.",Estradiol
"Objective
This study aimed to examine associations between plasma sex-related hormones with bone mineral density (BMD) and risks of osteoporosis or osteopenia in men and postmenopausal women patients with type 2 diabetes mellitus (T2DM).","The objective of this study was to investigate the racial/ethnic differences on the relationship between GDF15 and markers of glucometabolic status, hormonal profile, body composition and bone mineral density (BMD) in obese men.",Estradiol
"RESULTS
After modeling, the rats' estrus cycles were disordered, contents of serum FSH and LH levels significantly increased, and the E2 level markedly decreased compared with those of the blank control group (P<0.01), indicating that the POI model was successfully established.","Compared with the control group, the contents of serum LH, FSH and E2 were decreased (P<0.05), while the ovarian volume and the maximum follicle diameter were decreased (P<0.05) in the treatment group after treatment.",Estradiol
The aim of this study was to investigate the effects chronic MPH administration on reproductive parameters in both male and female pre-pubertal rats and reversibility of these effects.,The aim of this study is to investigate the performance of breast US and strain elastographic (SE) in the diagnosis of increased breast volume in girls.,Estradiol
The aim of this study was to investigate the effects chronic MPH administration on reproductive parameters in both male and female pre-pubertal rats and reversibility of these effects.,The secondary aim was to analyze the influence of fluctuating serum 17β-estradiol and progesterone concentrations on these parameters in naturally menstruating women.,Estradiol
Metritis (≤14 d postpartum) was associated with reduced follicle diameter (P = 0.002) and tended to reduce plasma estradiol concentrations (P = 0.062) from d 7 to 16 postpartum compared to cows without metritis.,Metritis was associated with reduced plasma progesterone (P = 0.026) but not corpus luteum diameter from d 17 to 26 postpartum.,Estradiol
"Pre-surgery serum concentrations of luteinizing hormone (LH), follicle-stimulating hormone (FSH), testosterone (T), estradiol (E2) and prolactin were measured in a retrospective multicenter TGCT cohort (n = 518).","The serum sexual hormone levels (progesterone -P-, testosterone -T-, estradiol -E2-, follicular stimulating hormone -FSH-, and luteinizing hormone -LH-) were in a normal range.",Estradiol
We have found pronounced fecundity outcomes in both genders of F0 and F1 generations with A. Cepa 150mg/kg/day extract as compared to control.,"The continued exposure of the F0 and F1 generations to A. Cepa extract did not affect body weight, fertility index, litter size, and survival index.",Estradiol
The aim of this study was to investigate the effects chronic MPH administration on reproductive parameters in both male and female pre-pubertal rats and reversibility of these effects.,"The objective of this study was to investigate the racial/ethnic differences on the relationship between GDF15 and markers of glucometabolic status, hormonal profile, body composition and bone mineral density (BMD) in obese men.",Estradiol
"METHODS
This is a pilot, single-center study, designed to evaluate the efficacy of topical testosterone gel (3 mg/day) in improving sexual function in 29 premenopausal patients on ovarian suppression in combination with an AI.","This case study centers on the utilization of ethinyl estradiol and levonorgestrel in patients with ovarian endometrioma, leading to an enhancement in the likelihood of achieving a successful clinical pregnancy.",Estradiol
