sentence1,sentence2,drug
"Our results indicate that the altered pigment phenotype does not significantly impact these strains' ability to resist oxidative stress with H2O2 and NO in vitro and did not change the virulence and infection outcome in CGD mice in vivo suggesting that other factors besides pyomelanin are contributing to the pathophysiology of these strains.IMPORTANCEThe Burkholderia cepacia complex (Bcc) is a group of Gram-negative opportunistic bacteria that are often associated with fatal pulmonary infections in patients with impaired immunity, particularly those with cystic fibrosis and chronic granulomatous disease (CGD).",Our results indicate that the altered pigment phenotype does not significantly impact these strains' ability to resist H2O2 or NO in vitro and did not alter the outcome of a respiratory infection in CGD mice in vivo.,Glycine
"Altogether, our results show that the K+ channel activity of viroporins is conserved in plant cytorhabdoviruses and plays crucial roles in insect-mediated virus transmission.","In this study, we report the activity of four additional enzymes that show that the proposed pathway is incorrect and that Nature's route towards pyrroloiminoquinones is much more complicated.",Glycine
"We perform a forward genetic screen in soybean and find that a mutation in Glycine max Increased Leaf Petiole Angle1 (GmILPA1), encoding a subunit of the APC/C, lead to dwarfism under UV-B irradiation.","The Panel also concluded that the available data are insufficient to make a determination that Glycine Max (Soybean) Callus Culture, Glycine Max (Soybean) Callus Culture Extract, Glycine Max (Soybean) Callus Extract, and Glycine Max (Soybean) Phytoplacenta Conditioned Media are safe under the intended conditions of use in cosmetic formulations.",Glycine
This study was conducted with the purpose of evaluating the morpho-physiological and genetic characteristics of a new salt-tolerant mutant KA-1285 developed using gamma-ray irradiation in soybean (Glycine max L.).,"To address this lack of research, a study was conducted in a Portuguese sweet cherry commercial orchard, using Lapins and Early Bigi cultivars.",Glycine
"The results depicted l-tryptophan and glycine as major contributors of elevated cyanide and elevated levels in weed rhizosphere by the studied Pseudomonas strains, through their higher root colonization ability in weeds as compared with wheat.","The bacterial inoculants have never been studied in context of their interaction with weed root exudates and precursor-dependent production of the natural phytotoxins (cyanide, cytolytic enzymes and auxin) by these strains to understand their weed suppression and wheat growth promotion abilities.",Glycine
We screened 33 response regulators and found that OmpR is essential for hypermucoviscosity and virulence of K. pneumoniae in a mouse pneumonia model.,We found that this is not applicable to the phrenic nerve and that a new inhibitory descending pathway may suppress seizure-like activity in the phrenic nerve.,Glycine
"In this study, NMR-based metabolomics was performed to investigate the response of clam gills and digestive glands under a series of sublethal doses of brevetoxins.","To address this lack of research, a study was conducted in a Portuguese sweet cherry commercial orchard, using Lapins and Early Bigi cultivars.",Glycine
"At a flow rate of 0.7 ml/min in the presence of glycine as bacteria chemoattractant, the spiral microfluidics devices with U and W-shaped cross-sections were able to isolate microalgae (Desmodesmus sp.)","The lack of genes involved in the metabolism of polyamines, taurine, glycine betaine, and methylamines in most of nitrifiers suggested that they were not able to serve as a source of ammonium, only if they were degraded or oxidized extracellularly as previously reported.",Glycine
"Results
Plasma glycine (t = 2.05, p = 0.042), l-serine (t = 2.25, p = 0.027), and homocysteine (t = 3.71, p < 0.001) concentrations were significantly higher in patients with schizophrenia compared to those in healthy controls.","Vitamins B and homocysteine were not associated with cognitive performance in this cohort, though higher glycine concentrations were associated with better global cognitive performance (P = 0.017), episodic memory (P = 0.016), and spatial memory (P = 0.027) scores.",Glycine
"This study investigates the effects of graphitic carbon nitride nanosheets (g-C3N4 NSs) on soybean (Glycine max L.) in Cd contaminated soil, focusing on Cd distribution, chemical forms and nitrogen (N) fixation.","However, the synergistic involvement of H2 S and rhizobia in photosynthetic carbon (C) metabolism in soybean (Glycine max) under nitrogen (N) deficiency has been largely overlooked.",Glycine
"Soybean (Glycine max) is a typical short-day plant, but has been widely cultivated in high-latitude long-day (LD) regions because of the development of early-maturing genotypes which are photoperiod-insensitive.","However, the synergistic involvement of H2 S and rhizobia in photosynthetic carbon (C) metabolism in soybean (Glycine max) under nitrogen (N) deficiency has been largely overlooked.",Glycine
"In this study, we evaluated 273 soybean accessions from different regions of the world for PD resistance in the conditions of southeastern regions of Kazakhstan in 2019 and 2021.","In this study, we report the activity of four additional enzymes that show that the proposed pathway is incorrect and that Nature's route towards pyrroloiminoquinones is much more complicated.",Glycine
"In contrast, this study identified O3-responsive microbial biomarkers that may contribute to the N acquisition (Chloroflexales) and C dynamics (Caldilineales, Thermomicrobiales, and Hypocreales) in the rhizosphere, which may support the O3 resilience of the 'Jake' cultivar.","In the bulk soil, no O3-responsive microbial biomarkers were found to be associated with C and N content, implying eO3 may stimulate niche-based processes during 'Jake' growth.",Glycine
"The main objective of this study was to investigate cytotoxic and genotoxic effects in erythrocytes, DNA, and chromosomes of native South American fish Astyanax lacustris exposed to a glyphosate-based commercial herbicide Templo®.","To address this lack of research, a study was conducted in a Portuguese sweet cherry commercial orchard, using Lapins and Early Bigi cultivars.",Glycine
