sentence1,sentence2,drug
This large cohort study suggests potential beneficial effects of nicotine replacement therapy on COVID-19 outcomes in current smokers and outsized benefits of SARS-CoV-2 vaccination in current and former smokers.,Effects of nicotine replacement therapy (NRT) and vaccination status on COVID-19 outcomes in smokers are unknown.,Nicotine
"While controlling for covariates, there was a 252% increased risk of the onset of asthma at earlier ages for adults who used ENDS in the past 30 days vs adults who did not (adjusted HR, 3.52; 95% CI, 1.24-10.02).","For youths, there was no association of ENDS use in the past 30 days with age of asthma onset (adjusted HR, 1.79; 95% CI, 0.67-4.77), which could be due to a lack of statistical power.",Nicotine
"SUBJECTS
We utilized data from adolescents (12-17 years) in Wave 3 of the Population Assessment of Tobacco and Health study who used e-cigarettes exclusively over the past 30 days (n = 177) and were followed up with in Wave 4.","METHODS
The sample included individuals with biomarker data in wave 1 of the Population Assessment of Tobacco Health study who never used tobacco, currently smoke cigarettes exclusively, used to smoke cigarettes exclusively (quit in past 12 months), currently use smokeless tobacco exclusively, and currently use e-cigarettes exclusively.",Nicotine
"There is high certainty that nicotine EC increases quit rates compared to nicotine replacement therapy (NRT) (RR 1.59, 95% CI 1.29 to 1.93; I2 = 0%; 7 studies, 2544 participants).","However, there was insufficient evidence to establish whether a combination of bupropion and nicotine replacement therapy (NRT) resulted in superior quit rates to NRT alone (RR 1.17, 95% CI 0.95 to 1.44; I2 = 43%; 15 studies, 4117 participants; low-certainty evidence).",Nicotine
"Methods
Adult data from people who exclusively smoked cigarettes (N = 2,438) in Waves 1-4 (2013-2017) of the Population Assessment of Tobacco and Health Study were stacked to examine associations between baseline and follow-up within wave pairs (W1-W2, W2-W3, W3-W4).","METHODS
The sample included individuals with biomarker data in wave 1 of the Population Assessment of Tobacco Health study who never used tobacco, currently smoke cigarettes exclusively, used to smoke cigarettes exclusively (quit in past 12 months), currently use smokeless tobacco exclusively, and currently use e-cigarettes exclusively.",Nicotine
"CONCLUSIONS
Among young adults in the United States, the latest generations of e-cigarettes appear to deliver large quantities of nicotine (similar to cigarettes) and significantly relieve withdrawal symptoms, and they are appealing.","CONCLUSIONS
The popularity of nicotine e-cigarettes appears to be expanding the avenues for marijuana delivery among young adults in Texas, United States.",Nicotine
"Introduction
This study aimed to investigate the effect of smoking cessation on plasma clozapine (CLO) concentrations in long-term hospitalized Chinese male patients with schizophrenia treated with CLO during the COVID-19 pandemic.","The objective of this study was to assess the effect of supplementation with 900 mg/day of Neuravena®, a green oat extract (GOE) of Avena sativa L., in enhancing wellness and wellbeing during a smoking reduction or cessation experience.",Nicotine
"There was high-certainty evidence that bupropion resulted in more trial dropouts due to AEs than placebo or no pharmacological treatment (RR 1.44, 95% CI 1.27 to 1.65; I2 = 2%; 25 studies, 12,346 participants).","However, there was insufficient evidence to establish whether a combination of bupropion and nicotine replacement therapy (NRT) resulted in superior quit rates to NRT alone (RR 1.17, 95% CI 0.95 to 1.44; I2 = 43%; 15 studies, 4117 participants; low-certainty evidence).",Nicotine
"There was high-certainty evidence that bupropion resulted in more trial dropouts due to AEs than placebo or no pharmacological treatment (RR 1.44, 95% CI 1.27 to 1.65; I2 = 2%; 25 studies, 12,346 participants).","However, there was insufficient evidence that bupropion combined with NRT versus NRT alone (RR 1.67, 95% CI 0.95 to 2.92; I2 = 0%; 3 studies, 737 participants) or bupropion combined with varenicline versus varenicline alone (RR 0.80, 95% CI 0.45 to 1.45; I2 = 0%; 4 studies, 1230 participants) had an impact on the number of dropouts due to treatment.",Nicotine
"AIMS AND METHODS
U.S nationally representative data from adults in the Population Assessment of Tobacco and Health (PATH) Study (2013/14-2021, Waves 1-6) who smoked cigarettes in the past 30 days (P30D) were analyzed (n = 13 640).","METHODS
The sample included individuals with biomarker data in wave 1 of the Population Assessment of Tobacco Health study who never used tobacco, currently smoke cigarettes exclusively, used to smoke cigarettes exclusively (quit in past 12 months), currently use smokeless tobacco exclusively, and currently use e-cigarettes exclusively.",Nicotine
