sentence1,sentence2,drug
"In the CS-obstetric population, the rate of PP was 9.61% among women with endometriosis vs 2.19% among women without endometriosis (OR = 4.74; 95% CI = 2.91-7.73).","There was no increase in the risk of PIH among women with a history of PCOS (OR = 1.243, 95% CI = 0.940-1.644).",Endometriosis
We present a case of a 46-year-old woman with a history of severe endometriosis and adenomyosis who developed an oligosymptomatic vesicovaginal fistula (VVF) as a complication of surgery.,"OBJECTIVE
We present a case of spontaneous abdominal wall endometriosis presenting as a painless nodular mass in a woman with no prior history of abdominal surgery.",Endometriosis
"OBJECTIVE
The aim of this randomized controlled trial is to compare the efficacy of an ultra-long GnRH agonist with standard downregulation in women with adenomyosis undergoing FET.",The objective of this study is to compare physical performance in women with and without endometriosis.,Endometriosis
"This was the first study to assess eyes-closed resting electroencephalogram (EEG) oscillatory amplitudes in women with endometriosis compared to healthy controls, and explore the relationship with chronic pelvic pain.","However, no study has evaluated if central sensitization can be measured objectively with neurophysiological tests in the pelvic and perineal area to prove this concept in women with chronic pelvic pain.",Endometriosis
"Purpose
The purpose of this paper is to evaluate the efficacy of a multimodal, outpatient neuromuscular protocol in treating remaining sensitization and myofascial pain in endometriosis patients post-surgical excision.","The aim of this study was to evaluate the beneficial effects of fisetin, a naturally occurring polyphenol that is frequently present in a variety of fruits and vegetables.",Endometriosis
The characteristic properties of vitamin D-binding protein and lactoferrin and the associations between their plasma and peritoneal fluid concentrations found in women with endometriosis may provide a novel panel of markers to identify high-risk patients in need of further diagnostic measures.,There were no differences (p > 0.05) in the plasma and peritoneal fluid concentrations of vitamin D-binding protein and lactoferrin between women with and without endometriosis.,Endometriosis
"OBJECTIVES
The objective of this multicenter retrospective study aimed to evaluate the association of clinical variables and the incidence of ovarian cancer in patients with BRCA 1-2 mutation carriers who underwent risk-reducing salpingo-oophorectomy (RRSO).","This case study centers on the utilization of ethinyl estradiol and levonorgestrel in patients with ovarian endometrioma, leading to an enhancement in the likelihood of achieving a successful clinical pregnancy.",Endometriosis
The primary objective of this prospective single-cohort study was to confirm the effectiveness of NAC in reducing endometriosis-related pain and the size of ovarian endometriomas.,"The aim of this study was to evaluate the beneficial effects of fisetin, a naturally occurring polyphenol that is frequently present in a variety of fruits and vegetables.",Endometriosis
"CONCLUSION
This study highlights the high prevalence of iron deficiency, which remains undiagnosed in over half of patients with endometriosis presenting to a gynecologist.","This case study centers on the utilization of ethinyl estradiol and levonorgestrel in patients with ovarian endometrioma, leading to an enhancement in the likelihood of achieving a successful clinical pregnancy.",Endometriosis
"Objective
This study aims to compare the accuracy of pelvis MRI in pelvic deep endometriosis with laparoscopic findings in women referred to Shahid Sadoughi hospital in one year.",The objective of this study is to compare physical performance in women with and without endometriosis.,Endometriosis
