sentence1,sentence2,drug
"To facilitate efficient co-delivery of CA4 and PIC for enhanced anti-angiogenic immunotherapy, we develop an injectable metal-organic framework hydrogel using Zeolitic Imidazolate Framework-8 (ZIF-8) and hyaluronic acid (HA) (ZIF-8/HA).","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Recently, the combination of hyaluronic acid (HA) and ozone therapy has gained popularity as a supportive treatment for chronic inflammation, in addition to its established role in enhancing healing after dental procedures.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
"Here, we reported a novel functional microneedle (MN) array comprising methacrylated hyaluronic acid (MeHA) embedded with pH-responsive functionalized zeolitic imidazolate framework-8 (ZIF-8) nanoparticles to treat bacteria-infected cutaneous wounds.","To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"Intra-articular therapies, such as hyaluronic acid (HA) and platelet-rich plasma (PRP), have garnered attention for their potential to manage osteoarthritis OA symptoms effectively.","(1) Background: Current treatments for knee osteoarthritis (KOA), such as intra-articular corticosteroids or hyaluronic acid (HA) injections, are controversial due to their ineffectiveness in preventing disease progression.",Hyaluronic acid
"Conclusion
In our clinical study, a single-session treatment with a hybrid product combining hyaluronic acid and calcium hydroxyapatite resulted in positive cosmetic satisfaction and increased dermal thickness.","However, to our knowledge, prospective studies assessing patient satisfaction and sonographic changes in dermal thickness after a single session of a hybrid filler combining hyaluronic acid and calcium hydroxyapatite have not been previously published.",Hyaluronic acid
"In mouse tumor models, the intratumoral injection of poly(I:C)+R848-protamine-NCs significantly prevented tumor growth and lung metastasis.","Knockdown of IRAK1 impaired tumor growth in peritoneal disease models, and impaired HA-induced spheroid growth and STAT3 phosphorylation.",Hyaluronic acid
"METHODS
A prospective, single-center, evaluator-blinded, randomized controlled study was designed to evaluate the effectiveness and safety of Hyamax® Volumizer in the correction of chin retrusion in the 18-55-year-old Chinese population for 12 months after treatment.","METHODS
This randomized, evaluator-blinded, no-treatment controlled study evaluated effectiveness and safety of HAVOL for correction of midface volume deficit and midface contour deficiency in Chinese subjects.",Hyaluronic acid
This study develops a novel drug delivery system using a hyaluronic acid (HA) hydrogel for controlled release of epidermal growth factor (EGF) to enhance skin wound healing.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
"OBJECTIVE
To investigate the efficacy of ribose-crosslinked collagen (RCLC) matrices functionalized by crosslinked hyaluronic acid (xHya) for reconstructive treatment of class I and III (b-c) peri-implantitis lesions in a transmucosal healing mode.","Traditional hyaluronic acid (HA) exhibits a diminished capacity to stimulate collagen regeneration, and hampered by its poor permeability as a macromolecule, ultimately resulting in constrained therapeutic outcomes for the treatment of photoaging.",Hyaluronic acid
This study underscores a novel pH-sensitive hyaluronic acid-based drug delivery system with significant potential for the effective treatment of intracellular infections.,"To address the poor bioavailability of SSA, we developed a novel drug delivery system utilizing hyaluronic acid (HA)-modified zeolitic imidazolate framework-8 (ZIF-8) nanoparticles for the co-delivery of SSA and DOX.",Hyaluronic acid
