sentence1,sentence2,drug
"CONCLUSIONS
Results of this validation show that the AnticFast Beta-lactams & Tetracyclines Combo Test Kit is a reliable test for rapid screening of raw cows' milk for residues of β-lactam and tetracycline antibiotics.","RESULTS
The AnticFast Beta-lactams & Tetracyclines Combo Test Kit is specific for the detection of residues of β-lactams and tetracyclines in milk and does not detect residues from other antibiotic families.",Tetracycline
"METHODS
We compared broth microdilution with Mueller-Hinton broth supplemented with lysed horse blood and gradient diffusion via Mueller-Hinton agar supplemented with sheep blood for 190 A. urinae isolates against 16 antimicrobials.","CONCLUSIONS
Given its limitations in detecting resistant strains, our findings cannot support the routine use of gradient diffusion with Mueller-Hinton agar supplemented with sheep blood for A. urinae in lieu of the Clinical and Laboratory Standards Institute method.",Tetracycline
"TC-loaded St/Fe3O4/MIL-88(Fe) showed higher antibacterial activity against both S. aureus and E. coli with the MIC value of 64 and 128 μg·mL-1, respectively.","However, no potentiation of conventional antibiotics was observed for combinations with linezolid and gentamicin against the corresponding resistant S. aureus and E. coli strains.",Tetracycline
"Conclusions
Analyses identified the high dissemination of Bacillus species in several hospital environments with high resistance to β-lactams and tetracycline antibiotics.","Furthermore, treatment with chloramphenicol, doxycycline, and tetracycline led to the overexpression of the breast cancer resistance protein.",Tetracycline
"Eighty percent of the isolates harbored AMR genes and were highly resistant to tetracycline, followed by macrolides (10.71%), lincosamides (9.29%) and β-lactams (4.29%).","Eight percent of the GAS isolates were resistant to tetracycline, and we did not observe macrolide resistance as reported in high income countries.",Tetracycline
"The present study examined the genetic characteristics, antimicrobial resistance, and virulent factors of multidrug-resistant S. aureus isolated from 22 food poisoning incidents reported by the hospitals and health centers in Eastern China from 2011 to 2021.","However, the epidemiology and genetic characteristics of S. aureus from food poisoning incidents in Eastern China remain unknown.",Tetracycline
All ESBL-producing Enterobacteriaceae and 79% of the 3GCr E. coli isolates were positive for blaCTX-M gene by polymerase chain reaction.,The spvC gene was not detected in serovars recovered from organic chickens though 92% and 82% of isolates were positive for invA and pagC.,Tetracycline
Antibiotic resistance was detected in 57 of the 179 staphylococcal isolates from subclinical mastitis (31.8%).,The spvC gene was not detected in serovars recovered from organic chickens though 92% and 82% of isolates were positive for invA and pagC.,Tetracycline
"Overall, 22.1% (17/77) of the E. coli isolates carried extended-spectrum β-lactamase (ESBL)-encoding genes and showed the ESBL-resistant phenotypes.",None of the E. coli isolates contained the genes responsible for carbapenem and colistin resistance.,Tetracycline
"METHODS
We searched PubMed, Embase, and the Cochrane Library for studies in any language published up to February 2023 that explored antibiotic resistance in H. pylori among East Asian children and adolescents.",The rates of primary antibiotic resistance in H. pylori among East Asian children and adolescents have not been extensively explored; few relevant systematic reviews or meta-analyses have been conducted.,Tetracycline
