sentence1,sentence2,drug
"Hence, this study aimed to assess the effect of lithium maintenance therapy on chronic kidney disease, and associated factors among outpatients diagnosed with a psychiatric illness within Southern Thailand.",The associated factors between the effect of lithium maintenance therapy and chronic kidney disease could not be identified due to a limited number of outpatients having developed chronic kidney disease.,Bipolar disorder
This study aimed to investigate the serum levels of HMGB1 and other inflammatory markers in patients with bipolar manic episodes compared to those in healthy controls (HC).,"Results
No difference was observed in serum HMGB1 levels of bipolar patients with manic episodes compared to the HC (p>0.05).",Bipolar disorder
"Introduction
Lithium is a gold-standard agent for bipolar disorder (BD) and can affect the size, structure and/or function of thyroid gland with long-term exposure.","BACKGROUND
There is a lack of information on the long-term course and outcomes of bipolar disorder (BD) patients with seasonal affective disorder (SAD).",Bipolar disorder
"The pooled prevalence of suicide attempts in males and females was 6.7 % and 9.3 %, respectively, and there was a statistically significant lower prevalence among male patients with bipolar disorder (OR = 0.71, 95%CI = 0.67-0.75).","In addition, in the group of patients, there was no statistically significant relationship between T. gondii infection with the type of bipolar disease (P = 0.93), the severity of the disease (P = 0.61), and the history of suicide attempts (P = 0.63).",Bipolar disorder
"RESULTS
The absolute mean risk of psychiatric readmission was 49.3% in the intervention group and 59.8% in the control group, with no statistically significant difference between the groups (b = -0.10, 95% CI: -0.26 to 0.047, p = 0.18).","Results
No significant difference in risk of T1D was observed between the offspring of mothers with major psychiatric disorders and those without (adjusted hazard ratio (aHR) of 0.86 with a 95% confidence interval (CI) of 0.58-1.24).",Bipolar disorder
"Schizophrenia, substance use or addiction, bipolar disorder, and attention deficit and hyperactivity disorder (ADHD) diagnoses demonstrated the strongest associations with noncurrent and current e-cigarette use.","Depression, alcohol use disorder, other substance use disorder, schizophrenia, and bipolar disorder diagnoses were not associated with PCQ scores.",Bipolar disorder
"Results
The prevalence of sexual dysfunction was 91% of bipolar disorder patients with more male participants (53.3%) compared to females (46.7%).","Results
No difference was observed in serum HMGB1 levels of bipolar patients with manic episodes compared to the HC (p>0.05).",Bipolar disorder
"Accounting for heterogeneity, hospitalization was associated with reduced risk of subsequent SAs in 28.1% of the patients and increased risk in 24.0%.","CONCLUSIONS
Initiation of methylphenidate treatment was not associated with an increased risk of mania in patients with bipolar disorder.",Bipolar disorder
"However, the pooled prevalence of suicide deaths in males and females was 0.7 % and 0.3 % respectively, and there was a statistically significant higher prevalence among male patients with bipolar disorder (OR = 1.86, 95%CI = 1.63-2.13).","In addition, in the group of patients, there was no statistically significant relationship between T. gondii infection with the type of bipolar disease (P = 0.93), the severity of the disease (P = 0.61), and the history of suicide attempts (P = 0.63).",Bipolar disorder
"We present the following case of a 24-year-old man with a history of schizoaffective disorder, obesity, and anxiety, who developed hypertriglyceridemia-induced acute pancreatitis after six months on olanzapine.","Here, we present a case who didn't have a BD but a family history of BD and was treated with lithium monotherapy for PDD with a successful outcome.",Bipolar disorder
"Firstly, serum 25-hydroxy vitamin D (25-OHD), calcium (Ca) and phosphorus (P) levels of patients in the bipolar manic episode were measured and compared with healthy control.","In conclusion, we observed no difference in the vitamin D levels and deficiency status of an Australian sample of healthy individuals and BD patients with low grade mood symptomatology compared to controls.",Bipolar disorder
"Schizophrenia, substance use or addiction, bipolar disorder, and attention deficit and hyperactivity disorder (ADHD) diagnoses demonstrated the strongest associations with noncurrent and current e-cigarette use.","Participants with psychiatric comorbidities such as schizophrenia, bipolar disorder, and substance use disorder were excluded from the study.",Bipolar disorder
