sentence1,sentence2,drug
This study aimed to quantitatively validate the effects of PPFD on EBSUE in dwarf tomatoes and edamame and verify whether this effect differs between these crops.,This study provides the opportunity to investigate bacterial genera that have not yet been explored in the control of M. javanica in tomatoes and other crops.,Tomato
This study provides new approaches to further elucidate the application of exogenous silicon to improve tomato fruit quality under normal conditions.,"While numerous cultivars have been bred to enhance fruit quality, few studies have comprehensively evaluated the fruit quality of cherry tomato cultivars.",Tomato
"Tomato plants treated with AgNPs showed a significant increase in plant height (30%), number of leaves, fresh weight (45%), and dry weight (40%) compared to the control plants.","Besides, the S-(+)-PEN did not cause significant abiotic stress to the tomato and increased fruit fresh weight and size via modulating the contents of plant hormones.",Tomato
This paper investigates the response of five tomato and five pepper varieties to native arbuscular mycorrhizal (AM) fungal inoculation in an organic farming system.,"To date, however, no study has developed an eco-friendly solution that targets both the predator and its host in a tomato farming system.",Tomato
"Notably, the phosphate-dissolving strain JS-SCA-14 led to a significant increase of 34.4% in fresh weight and 35.4% in dry weight of tomato plants compared to the negative control.","Besides, the S-(+)-PEN did not cause significant abiotic stress to the tomato and increased fruit fresh weight and size via modulating the contents of plant hormones.",Tomato
"The application of Medea1 as a root drenching inoculum or foliar spraying reduced 2.5- and fourfold on average, respectively, Pst symptoms in tomato plants, compared to a control group.","Furthermore, we did not find enrichment of a TA motif on mutated adenine in the genomes and transcriptomes in base-edited tomato plants, as opposed to the recent discovery in rice (Oryza sativa).",Tomato
"The present study investigated the effects of water deficit on sucrose metabolism and related gene expression in tomato fruits, aiming to identify candidate genes for improving fruit quality upon low water availability.","Despite evidence for the macro-effects of elevated CO2 concentrations on plant morphology and yield in tomato, the gene regulatory network and key genes related to cross-regulation have not been reported.",Tomato
Our results suggested that in situ vermicomposting with biochar can improve soil properties and enhance both crop yields and fruit quality under the tomato monoculture system.,"However, little information is available regarding the efficiency and effectiveness of in situ vermicomposting with biochar (IVB) in monoculture soils.",Tomato
"Home processing of fortified tomato and strawberry samples had a significant effect on reducing residues in tomato sauce and strawberry jam, where the reduction reached 100%.","On the other hand, the application of two oyster shell soil conditioners resulted in a modest reduction in the diversity of inter-root soil bacteria in tomato plants.",Tomato
"Foliar application of 1 mM H2O2 resulted in a 69% increase in the maximum rate of RuBisCO carboxylation in well-watered plants, contributing to tomato photosynthetic adjustment.","On the other hand, the application of two oyster shell soil conditioners resulted in a modest reduction in the diversity of inter-root soil bacteria in tomato plants.",Tomato
"The tomato genome has been precisely modified via CRISPR/Cas9 to induce resistance genes or knock out susceptibility genes, resulting in lines resistant to common bacterial, fungal, and viral diseases.","Though alternative methods, like RNAi, have been attempted to knock down these two S genes in order to confer resistance in tomato against Fusarium wilt, there has been no report of employing the CRISPR/Cas9 system for this specific intent.",Tomato
