sentence1,sentence2,drug
This study aims to assess the prevalence of anti-SARS-CoV-2 in hepatitis B and C patients in a pre-vaccination of COVID-19 period.,"CONCLUSIONS
This study demonstrated a declining prevalence in viral hepatitis B and C in primary care in the Netherlands.",Hepatitis C
"BACKGROUND
Large-scale real-world data of the 8-week glecaprevir/pibrentasvir (GLE/PIB) therapy for treatment-naïve patients of chronic hepatitis C virus (HCV) infection with compensated cirrhosis is scarce.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
We validate SPLENDID clinically in 80 serum samples for hepatitis C virus (HCV) and 66 saliva samples for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) with high specificity and accuracy.,"Introduction
Data on the management of patients aged more than 85 years with chronic hepatitis C virus (HCV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) sequential infections are lacking.",Hepatitis C
"METHODS
We developed a Markov-based microsimulation model of the natural history of HCC in individuals with hepatitis C who achieved virologic cure with oral direct-acting antivirals.","METHODS
A total of 6048 patients with no history of HCC who achieved SVR by oral direct-acting antiviral drugs were enrolled in this nationwide study.",Hepatitis C
"Results
The overall prevalence of hepatitis B surface antigen and anti-Hepatitis C virus antibodies was 29 (6.9%) and 5 (1.2%), respectively.","RESULTS
No PC-related transmission of human immunodeficiency virus, hepatitis C virus, hepatitis B virus and human T-cell lymphotropic virus was reported throughout the study period.",Hepatitis C
"BACKGROUND AND AIM
Understanding the dynamics of serum Mac-2 binding protein glycosylation isomer (M2BPGi) remains pivotal for hepatitis C virus (HCV) patients' post-sustained virologic response (SVR12) through direct-acting antivirals (DAAs).","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
We evaluated the effectiveness and safety of direct-acting antivirals in adolescents with hepatitis C (HCV)/HIV coinfection using pooled individual patient-level data from 5 European cohorts.,"BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
This study aims to assess the prevalence of anti-SARS-CoV-2 in hepatitis B and C patients in a pre-vaccination of COVID-19 period.,"Conclusion
In this study, no association was obtained between sociodemographic, clinical, and behavioural factors and the prevalence of hepatitis B and C viruses.",Hepatitis C
"The present study offers a comprehensive assessment of the prevalence of hepatitis B virus (HBV), hepatitis C virus (HCV), human immunodeficiency virus (HIV), and syphilis among blood donors in southern Thailand.","There were no cases of donor-derived human immunodeficiency virus (HIV), hepatitis C virus (HCV), or hepatitis B virus (HBV) reported for any donors included, regardless of IIRD status, during the study period.",Hepatitis C
The operation was performed in a 62-year-old man with hepatitis C cirrhosis and hepatocellular carcinoma with a native Model for End-Stage Liver Disease score of 10.,The serum SM species did not correlate with the model of end-stage liver disease (MELD) score in the cirrhosis and the non-cirrhosis subgroups in females.,Hepatitis C
"RESULTS
Anti-HDV testing was performed in 6.1% overall and in 4.9% that met American Association for the Study of Liver Diseases criteria for HDV testing.","Background and Aim
Hepatocellular carcinoma (HCC) surveillance in low-risk patients (annual incidence <1.5%) is not recommended per the American Association for the Study of Liver Diseases guidelines.",Hepatitis C
"INTRODUCTION
This brief report presents updated findings from the previously published CREST study evaluating the safety and effectiveness of 8-week glecaprevir/pibrentasvir (GLE/PIB) in treatment-naïve patients with chronic hepatitis C virus (HCV) infection and compensated cirrhosis.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"Direct-acting antivirals (DAAs) for hepatitis C virus (HCV) infection have delivered high response rates (>95%) and simplified the management of HCV treatment, permitting non-specialists to manage patients without advanced liver disease.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"BACKGROUND
Large-scale real-world data of the 8-week glecaprevir/pibrentasvir (GLE/PIB) therapy for treatment-naïve patients of chronic hepatitis C virus (HCV) infection with compensated cirrhosis is scarce.","BACKGROUND
No study has evaluated the effect of hepatitis C virus (HCV) infection on the wide spectrum of complications affecting patients with thalassemia.",Hepatitis C
"Background
In Australia, the incidence of hepatitis C virus (HCV) has declined among gay and bisexual men (GBM) with human immunodeficiency virus (HIV) since 2015 and is low among GBM using HIV preexposure prophylaxis (PrEP).","BACKGROUND
Little is known about the effect of hepatitis C virus (HCV) treatment on sexual risk behavior among men who have sex with men (MSM) with HIV by treatment type (interferon [IFN]-based vs direct-acting antiviral [DAA]-based).",Hepatitis C
"INTRODUCTION
Glecaprevir/pibrentasvir (G/P) has demonstrated high rates (>95%) of sustained virologic response at posttreatment Week 12 (SVR12) in treatment-naïve (TN) patients with hepatitis C virus (HCV) infection and compensated cirrhosis (CC).","Background and aim
Hepatitis C virus (HCV) treatment fails to achieve sustained virological response at 12 weeks (SVR12) in 5-10 % and requires retreatment with second-line drugs.",Hepatitis C
The clinical use of direct-acting antivirals (DAAs) for hepatitis C virus (HCV) infection has dramatically changed management of patients with HCV liver disease since 2014; this is also true for patients undergoing dialysis.,"BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"Background and Objectives: Direct-acting antivirals (DAAs) are highly effective for the treatment of chronic hepatitis C virus (HCV) infection, but the risk of liver-related events and hepatocellular carcinoma (HCC) remains after successful therapy.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"To evaluate the safety and tolerability of the fixed-dose, single-tablet regimen sofosbuvir/velpatasvir (SOF/VEL) for the treatment of hepatitis C virus (HCV) infection in three Phase 3 studies in patients with and without compensated cirrhosis.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"RESULTS
Of the 804 patients with different malignancies, 132(16.4%) were found positive for hepatitis C virus.",HIV-positive patients on antiretroviral therapy and patients with history of current/past treatment for chronic hepatitis infection were excluded from the study.,Hepatitis C
"In Pakistan, substantial changes to hepatitis C virus (HCV) programming and treatment have occurred since the 2008 nationwide serosurvey estimated a 4.8% anti-HCV prevalence.","The hepatitis C virus (HCV) poses a great risk to pregnant people and their developing fetus, yet no HCV antiviral treatment guidelines have been established.",Hepatitis C
"INTRODUCTION
Globally, it is estimated that 290,000 patients infected with hepatitis C virus (HCV) died from hepatitis C consequences, including cirrhosis and hepatocellular carcinoma in 2019.","Introduction
Patients with cancer and hepatitis B virus (HBV) or hepatitis C virus (HCV) infection are underrepresented in several clinical trials testing immune checkpoint inhibitors (ICIs).",Hepatitis C
"OBJECTIVES
Toinvestigate liver carcinogenesis and other causes of death by collecting clinical data, including the Fib-4 index, from patients with successfully eradicated hepatitis C virus (HCV) by direct-acting antivirals (DAA) treatment.","BACKGROUND
Real-world data are scarce about the effectiveness and safety of sofosbuvir/velpatasvir/voxilaprevir (SOF/VEL/VOX) for retreating East Asian patients with hepatitis C virus (HCV) infection who previously received NS5A direct-acting antivirals (DAAs).",Hepatitis C
"The current study evaluated liver fibrosis improvement in 848 hepatitis C patients treated with DAAs, who also achieved sustained virologic response (SVR).","Because patients with chronic hepatitis C with non-advanced fibrosis who have achieved sustained virological response (SVR) have a low risk of HCC, HCC surveillance is not recommended for them.",Hepatitis C
"RESULTS
of the 3,949 patients with AoCLD, 809 were older with a higher proportion of autoimmune-related abnormalities, hepatitis C viral infection and schistosomiasis.",HIV-positive patients on antiretroviral therapy and patients with history of current/past treatment for chronic hepatitis infection were excluded from the study.,Hepatitis C
"BACKGROUND & AIMS
Guidelines recommend biannual surveillance for hepatocellular carcinoma (HCC) in hepatitis C individuals with cirrhosis if the HCC incidence rate is above 1.5 per 100 person-years (PY).","Background and Aim
Hepatocellular carcinoma (HCC) surveillance in low-risk patients (annual incidence <1.5%) is not recommended per the American Association for the Study of Liver Diseases guidelines.",Hepatitis C
The operation was performed in a 62-year-old man with hepatitis C cirrhosis and hepatocellular carcinoma with a native Model for End-Stage Liver Disease score of 10.,"However, the role of Child-Pugh and Model for End-Stage Liver Disease classifications of liver status in predicting survivorship among patients with HCV undergoing elective arthroplasty has not been elucidated.",Hepatitis C
"BACKGROUND
Large-scale real-world data of the 8-week glecaprevir/pibrentasvir (GLE/PIB) therapy for treatment-naïve patients of chronic hepatitis C virus (HCV) infection with compensated cirrhosis is scarce.",HIV-positive patients on antiretroviral therapy and patients with history of current/past treatment for chronic hepatitis infection were excluded from the study.,Hepatitis C
This study aims to assess the prevalence of anti-SARS-CoV-2 in hepatitis B and C patients in a pre-vaccination of COVID-19 period.,"RESULTS
No PC-related transmission of human immunodeficiency virus, hepatitis C virus, hepatitis B virus and human T-cell lymphotropic virus was reported throughout the study period.",Hepatitis C
"The prevalence of new-onset diabetes after transplantation was found to be 20% [95% CI (18.0, 22.0)].",Very little is known about the prevalence of new-onset diabetes after transplant (NODAT) in sub-Saharan and Eastern Africans.,Hepatitis C
"RESULTS
The prevalence among donors of HBV was 8.39 %, 0.56 % for HCV and 0.18 % for HIV.","The prevalence of HBV viremia among hemodialysis patients was not statistically associated with duration of hemodialysis, age and gender distribution.",Hepatitis C
"BACKGROUND
Large-scale real-world data of the 8-week glecaprevir/pibrentasvir (GLE/PIB) therapy for treatment-naïve patients of chronic hepatitis C virus (HCV) infection with compensated cirrhosis is scarce.","Introduction
Data on the management of patients aged more than 85 years with chronic hepatitis C virus (HCV) and severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) sequential infections are lacking.",Hepatitis C
