sentence1,sentence2,drug
"For patients receiving first-line FOLFIRINOX, SMAD4 alterations were uniquely associated with metastatic progression (30.0% vs. 14.5%; P = 0.009) and decreased rate of surgical resection (37.1% vs. 66.7%; P < 0.001).","For patients receiving induction gemcitabine/nab-paclitaxel, alterations in SMAD4 were not associated with metastatic progression (14.3% vs. 16.2%; P = 0.866) nor decreased rate of surgical resection (33.3% vs. 41.9%; P = 0.605).",Paclitaxel
"BACKGROUND
Immune checkpoint inhibitors (ICIs) are therapeutic agents for advanced and metastatic non-small cell lung cancer (NSCLC) with high clinical antitumor efficacy.","BACKGROUND
Clinical evidence of immune checkpoint inhibitors combined with antiangiogenic drugs in patients with advanced non-small cell lung cancer (NSCLC) was limited.",Paclitaxel
We compared the cost-effectiveness of gemcitabine plus nab-paclitaxel (GnP) and modified FOLFIRINOX (mFFX)-standard first-line treatments for metastatic pancreatic cancer in Japan.,Outcomes and prognostic factors of second-line gemcitabine plus nab-paclitaxel (GnP) after modified FOLFIRINOX (mFFX) for unresectable pancreatic cancer were unclear.,Paclitaxel
We assessed the efficacy and safety of QL1604 plus chemotherapy as first-line treatment in patients with advanced cervical cancer.,"However, there is a paucity of data regarding the safety and efficacy of nab-paclitaxel combined with oxaliplatin (LBP) and tegafur in the treatment of patients with advanced gastric cancer.",Paclitaxel
"CONCLUSIONS
This study demonstrates that pyrotinib plus albumin-bound paclitaxel as a first-line treatment regimen shows good efficacy and manageable safety for patients who have received adjuvant and/or neoadjuvant trastuzumab for HER2-positive metastatic breast cancer.","However, there is still a lack of evidence regarding first-line anti-HER2 treatment options for patients who have received adjuvant and/or neoadjuvant trastuzumab for HER2-positive metastatic breast cancer.",Paclitaxel
"BACKGROUND
Immune checkpoint inhibitors (ICIs) have been shown to prolong the survival of patients with non-small cell lung cancer (NSCLC) and have allowed complete resection for advanced lung cancer.","BACKGROUND
Clinical evidence of immune checkpoint inhibitors combined with antiangiogenic drugs in patients with advanced non-small cell lung cancer (NSCLC) was limited.",Paclitaxel
"BACKGROUND
Immune checkpoint inhibitors (ICIs) have been shown to prolong the survival of patients with non-small cell lung cancer (NSCLC) and have allowed complete resection for advanced lung cancer.","Background
The clinical efficacy and safety of camrelizumab as a third- or later-line regimen in patients with advanced non-small cell lung cancer (NSCLC) have not been determined in large clinical trials.",Paclitaxel
"BACKGROUND
Neoadjuvant and adjuvant immune checkpoint inhibitor treatments for non-small cell lung cancer (NSCLC) patients with resectable disease have presented promising results.","BACKGROUND
Clinical evidence of immune checkpoint inhibitors combined with antiangiogenic drugs in patients with advanced non-small cell lung cancer (NSCLC) was limited.",Paclitaxel
"Background
To evaluate the efficacy and safety of toripalimab combined with neoadjuvant chemoradiotherapy (NCRT) for locally advanced esophageal squamous cell carcinoma (ESCC).","BACKGROUND
The efficacy of immunotherapy plus neoadjuvant chemotherapy and concurrent chemoradiotherapy (CCRT) for locally advanced nasopharyngeal carcinoma (LA-NPC) has not been reported.",Paclitaxel
"This study aimed to evaluate the efficacy and safety of intraperitoneal administration of high-dose paclitaxel, intravenous oxaliplatin and S-1 in patients with peritoneal metastatic gastric cancer.","However, there is a paucity of data regarding the safety and efficacy of nab-paclitaxel combined with oxaliplatin (LBP) and tegafur in the treatment of patients with advanced gastric cancer.",Paclitaxel
"PURPOSE
This study aimed to assess the efficacy and safety of nanoparticle albumin-bound paclitaxel (nab-paclitaxel) plus platinum versus paclitaxel plus platinum as first-line therapy in patients with metastatic or recurrent cervical cancer.","However, no study has investigated the efficacy and safety of sintilimab combined with nanoparticle albumin-bound paclitaxel (Nab-PTX) and platinum as first-line treatment for metastatic ESCC.",Paclitaxel
We report a case of a patient with locally advanced esophageal cancer who underwent two cycles of neoadjuvant immunochemotherapy and successful surgery and achieved a pathological complete response (pCR).,We report a case of a patient with locally advanced pancreatic cancer who was unable to have surgery due to a tumor that had invaded the coeliac axis and portal vein.,Paclitaxel
"CONCLUSIONS
This is the first study to evaluate the efficacy and safety of ubenimex combined with pembrolizumab, nab-paclitaxel, and carboplatin in patients with previously untreated advanced squamous NSCLC.","However, there is a paucity of data regarding the safety and efficacy of nab-paclitaxel combined with oxaliplatin (LBP) and tegafur in the treatment of patients with advanced gastric cancer.",Paclitaxel
The cumulative 10-year DFS was 19.6% for patients with HR-negative disease and 37.3% for those with HR-positive disease.,Patients with platinum-resistant disease and those for whom bevacizumab usage was contraindicated were not enrolled in the study.,Paclitaxel
"BACKGROUND
Immune checkpoint inhibitors (ICIs) have been shown to prolong the survival of patients with non-small cell lung cancer (NSCLC) and have allowed complete resection for advanced lung cancer.","Background
Immune checkpoint inhibitors (ICIs) no longer are approved for second-line or later treatment of extensive-stage small cell lung cancer (ES-SCLC), and have not been studied in combination with chemotherapy.",Paclitaxel
"OBJECTIVE
To compare the efficacy and safety of first-line anti-PD-1 combined with chemotherapy versus chemotherapy alone in patients with advanced urothelial carcinoma (UC).","However, there is a paucity of data regarding the safety and efficacy of nab-paclitaxel combined with oxaliplatin (LBP) and tegafur in the treatment of patients with advanced gastric cancer.",Paclitaxel
"BACKGROUND
Immune checkpoint inhibitors (ICIs) are therapeutic agents for advanced and metastatic non-small cell lung cancer (NSCLC) with high clinical antitumor efficacy.","BACKGROUND
Treatment options are limited for epidermal growth factor receptor (EGFR)-mutated non-small cell lung cancer (NSCLC) after treatment failure with EGFR tyrosine kinase inhibitors (TKIs).",Paclitaxel
The combination of chemotherapy and copper depletion therapy generated an enhanced therapeutic outcome toward triple-negative breast cancer with an ignorable systemic toxicity.,"BACKGROUND
The combination of neoadjuvant chemotherapy and anti-angiogenesis therapy for patients with triple-negative breast cancer (TNBC) remains inadequately supported by evidence.",Paclitaxel
"BACKGROUND
Neoadjuvant administration of immune checkpoint inhibitors (ICIs) combined with chemotherapy demonstrated promising efficacy and manageable safety in locally advanced esophageal squamous cell carcinoma (ESCC).","Background
There are currently limited real-world data on the effectiveness and safety of first-line pembrolizumab combined with chemotherapy in patients with advanced/recurrent or metastatic esophageal squamous cell carcinoma (ESCC) in China.",Paclitaxel
"OBJECTIVE
To compare the efficacy and safety of first-line anti-PD-1 combined with chemotherapy versus chemotherapy alone in patients with advanced urothelial carcinoma (UC).","Background
There are currently limited real-world data on the effectiveness and safety of first-line pembrolizumab combined with chemotherapy in patients with advanced/recurrent or metastatic esophageal squamous cell carcinoma (ESCC) in China.",Paclitaxel
These findings support the use of neoadjuvant pembrolizumab plus chemotherapy followed by adjuvant pembrolizumab as a standard-of-care therapy for patients in Asian countries with early triple-negative breast cancer.,"BACKGROUND
The anti-tumor activity of nab-paclitaxel followed by epirubicin/cyclophosphamide (EC) as neoadjuvant chemotherapy (NAC) in Asian patients remain unclear, particularly in the aggressive subtype triple-negative breast cancer (TNBC).",Paclitaxel
We report the case of a long-term-surviving adolescent and young adult patient with unresectable advanced gastric cancer for whom multidisciplinary treatment was effective.,We report a case of a patient with locally advanced pancreatic cancer who was unable to have surgery due to a tumor that had invaded the coeliac axis and portal vein.,Paclitaxel
This phase 1b study evaluated the safety and tolerability of zilovertamab with paclitaxel in patients with advanced breast cancer.,"However, there is a paucity of data regarding the safety and efficacy of nab-paclitaxel combined with oxaliplatin (LBP) and tegafur in the treatment of patients with advanced gastric cancer.",Paclitaxel
Efficacy and safety outcomes were consistent with the global study and support the use of pembrolizumab plus chemotherapy in Japanese patients with metastatic squamous NSCLC.,"Background
There are currently limited real-world data on the effectiveness and safety of first-line pembrolizumab combined with chemotherapy in patients with advanced/recurrent or metastatic esophageal squamous cell carcinoma (ESCC) in China.",Paclitaxel
