sentence1,sentence2,drug
"OBJECTIVE
To investigate the correlation between serum ferritin (SF) and bone turnover markers in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).","BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
This study investigates the connection between abnormal liver enzymes and macro vascular disease in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).,"BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
This study investigates the connection between abnormal liver enzymes and macro vascular disease in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).,The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"OBJECTIVE
To investigate the correlation between serum ferritin (SF) and bone turnover markers in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"BACKGROUND
We aimed to evaluate whether non-alcoholic fatty liver disease (NAFLD) with or without sarcopenia is associated with progression of carotid atherosclerosis in patients with type 2 diabetes mellitus (T2DM).",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"Introduction
There is high prevalence of non-alcoholic fatty liver disease in individuals with type 2 diabetes mellitus (T2D), and available evidence suggests higher prevalence of NASH and advanced stages of fibrosis among T2D.","BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
"BACKGROUND
We aimed to evaluate whether non-alcoholic fatty liver disease (NAFLD) with or without sarcopenia is associated with progression of carotid atherosclerosis in patients with type 2 diabetes mellitus (T2DM).",Whether non-alcoholic fatty liver disease (NAFLD) improves risk prediction for subsequent type 2 diabetes mellitus (T2DM) in women with prior gestational diabetes mellitus (pGDM) is uncertain.,Non-alcoholic fatty liver disease
This study investigates the connection between abnormal liver enzymes and macro vascular disease in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).,"BACKGROUND
The understanding of bile acid (BA) and unsaturated fatty acid (UFA) profiles, as well as their dysregulation, remains elusive in individuals with type 2 diabetes mellitus (T2DM) coexisting with non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
This study aimed to evaluate the associations of overall and regional body fat with the severity of hepatic steatosis and fibrosis in type 2 diabetic patients with non-alcoholic fatty liver disease.,"OBJECTIVES
Currently, non-invasive scoring systems to stage the severity of non-alcoholic fatty liver disease (NAFLD) do not consider markers of glucose control (glycated haemoglobin, HbA1c); this study aimed to define the relationship between HbA1c and NAFLD severity in patients with and without type 2 diabetes.",Non-alcoholic fatty liver disease
"The high prevalence of fatty liver disease in obese patients with type 2 diabetes reached 70%, reflecting the importance of these conditions with fatty liver.",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"BACKGROUND & AIMS
We aimed to determine the trends in risk factor control and treatment among patients with non-alcoholic fatty liver disease (NAFLD) and type 2 diabetes (T2D) in 2000-2020.","BACKGROUND & AIMS
In non-alcoholic fatty liver disease (NAFLD), the influence of parental history of type 2 diabetes (T2D) allied to single nucleotide polymorphisms (SNPs) in the offspring is not known.",Non-alcoholic fatty liver disease
"Our important outcomes were liver-related morbidity, health-related quality of life, non-serious adverse events, biochemical response, and imaging assessment of the degree of fatty liver.","Vitamin E plus vitamin C versus placebo There were no data on all-cause mortality, liver-related mortality, serious adverse events, liver-related morbidity, health-related quality of life, and non-serious adverse events.",Non-alcoholic fatty liver disease
"BACKGROUND
This study aimed to elucidate the association between total lean muscle mass and the incidence of non-alcoholic fatty liver disease (NAFLD) in the adult Korean population.","Background and aims
Although the association between low muscle mass and the risk of non-alcoholic fatty liver disease is well-known, it has not been explored in viscerally obese populations by gender.",Non-alcoholic fatty liver disease
"BACKGROUND
More than 70% of patients with type 2 diabetes (T2DM) concomitantly suffer from Non-alcoholic fatty liver disease (NAFLD), and the coexistence and interaction of them increases the intractability of NAFLD.","BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
"AIM
To assess the safety, tolerability and pharmacodynamics (PD) of the ketohexokinase inhibitor PF-06835919 in participants with non-alcoholic fatty liver disease (NAFLD) and type 2 diabetes (T2D).",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"Serum levels of fasting plasma glucose (FPG), 2-hour postprandial glucose (2h PG), hemoglobin A1c (HbA1c), homeostasis model assessment of insulin resistance (HOMA-IR), total cholesterol (TC), and triglyceride (TG) were measured in both patients and mice using an automated biochemical analyzer.","Furthermore, the serum CST levels were negatively associated with the levels of total cholesterol (TC), low-density lipoprotein cholesterol (LDL-C), fasting plasma glucose (FPG), homeostasis model assessment-insulin resistance (HOMA-IR), and insulin cell function index (HOMA-β).",Non-alcoholic fatty liver disease
This study investigates the connection between abnormal liver enzymes and macro vascular disease in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).,Whether non-alcoholic fatty liver disease (NAFLD) improves risk prediction for subsequent type 2 diabetes mellitus (T2DM) in women with prior gestational diabetes mellitus (pGDM) is uncertain.,Non-alcoholic fatty liver disease
"Objective
To investigate the association between non-alcoholic fatty liver disease (NAFLD) and liver enzymes with the incidence of microvascular complications (neuropathy, retinopathy, and nephropathy) in a cohort of Iranian patients with type 2 diabetes.","OBJECTIVES
Currently, non-invasive scoring systems to stage the severity of non-alcoholic fatty liver disease (NAFLD) do not consider markers of glucose control (glycated haemoglobin, HbA1c); this study aimed to define the relationship between HbA1c and NAFLD severity in patients with and without type 2 diabetes.",Non-alcoholic fatty liver disease
"OBJECTIVE
To investigate the correlation between serum ferritin (SF) and bone turnover markers in type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).","BACKGROUND
The understanding of bile acid (BA) and unsaturated fatty acid (UFA) profiles, as well as their dysregulation, remains elusive in individuals with type 2 diabetes mellitus (T2DM) coexisting with non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
Our aim was to explore the possible mechanism of miRNAs by revealing the differential expression of serum miRNAs in different BMI of type 2 diabetes mellitus (T2DM) patients with non-alcoholic fatty liver disease (NAFLD).,"BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
"BACKGROUND
We aimed to evaluate whether non-alcoholic fatty liver disease (NAFLD) with or without sarcopenia is associated with progression of carotid atherosclerosis in patients with type 2 diabetes mellitus (T2DM).","BACKGROUND
Currently, there is no information about the association between circulating levels of ferritin and hepcidin and liver fibrosis in patients with type 2 diabetes mellitus (T2DM) and non-alcoholic fatty liver disease (NAFLD).",Non-alcoholic fatty liver disease
"AIM
This study aimed to investigate the effects of repeated detection of non-alcoholic fatty liver disease (NAFLD) on the incidence risk of type 2 diabetes in young adults.",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
"AIM
To investigate the effect of ursodeoxycholic acid (UDCA) on the degree of steatosis, indicators of carbohydrate, lipid metabolism, body weight in patients with type 2 diabetes mellitus (DM) in combination with non-alcoholic fatty liver disease (NAFLD).",The effect of exercise on clinical parameters in patients with non-alcoholic fatty liver disease (NAFLD) combined with type 2 diabetes mellitus (T2DM) is unknown.,Non-alcoholic fatty liver disease
