sentence1,sentence2,drug
"Four hundred and seventy-eight iHAWs filled in questionnaires about sexual harassment, depression, anxiety, and Post-Traumatic Stress Disorder (PTSD) as part of a larger study on health and well-being.","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"This study aimed to assess the prevalence of PTSD, depression, and anxiety, and associated factors among armed conflict survivors in Cabo Delgado, north region of Mozambique in 2023.","To our knowledge, no study has been performed in Saudi Arabia to identify the prevalence and associated risk factors of PTSD among emergency staff.",Post-traumatic stress disorder
"In 14.5% of the respondents, the psychosocial impact of COVID-19 also varied from the possibility of post-traumatic stress disorder (PTSD) to immunosuppression (p < 0.01).","OBJECTIVE
To date no research has examined the potential influence of acute stress symptoms (ASD) on subsequent development of post-traumatic stress disorder (PTSD) symptoms in stroke survivors.",Post-traumatic stress disorder
This study assessed the association between sociodemographic factors and post-traumatic stress symptoms (PTSS) among 18-24-year-olds during the first wave of the COVID-19 pandemic.,"More importantly, there is no study that investigated the significance of association between war-related traumatic events and post-traumatic stress disorder in the area.",Post-traumatic stress disorder
The patients had an ultrasound-guided right-sided SGB for the treatment of PTSD and experienced a reduction in anxiety symptoms based on Posttraumatic Stress Disorder Checklist for DSM-5 (PCL-5) scores.,"However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"Gender differences in the lifetime prevalence of post-traumatic stress disorder (PTSD) have been well described with rates reported as approximately 10%-12% in females and 5%-6% in males (Olff, 2017).","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"We examined the effectiveness of a 26-week culture-inclusive intervention on reducing salivary stress biomarker levels, and perceived stress, depressive, and post-traumatic stress disorder (PTSD) symptoms measured using scales in 53 Indigenous women in Ontario, Canada.","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
This study was carried out between January and February 2021 and sought to determine the prevalence of post-traumatic stress disorder (PTSD) and depression among IDPs and examine the association between displacement and these psychiatric conditions.,There is no significant association between patient demographics and severity of the injuries with the prevalence of post-traumatic stress disorder (PTSD) and depression symptoms.,Post-traumatic stress disorder
"From April, 2020 to March, 2022 the UCLA Brief COVID-19 Screen for Child/Adolescent PTSD was also administered to assess trauma exposures and symptoms specifically-related to the pandemic experience.","The Clinician Administered PTSD Scale for DSM-5 (CAPS-5) was used to assess trauma characteristics and PTSD symptoms.Results: There were no significant correlations between estradiol, progesterone, and PTSD symptom severity.",Post-traumatic stress disorder
This cross-sectional study aimed to characterize the longer-term mental health consequences of COVID-19 infection and examine whether such consequences are more pronounced in Black people and people with lower socioeconomic status.,"Given the lack of studies among amateur athletes, this study aimed to examine mental health outcomes in middle-aged amateur athletes who have been exposed to RHI through contact sport participation.",Post-traumatic stress disorder
"We find that in a rat model of post-traumatic stress disorder (PTSD), a single injection of GO to the lateral amygdala following the stressful event induced PTSD-related behavior remission and reduced dendritic spine densities.","However, in a rat model of post-traumatic stress disorder (PTSD), the important role of LH orexin neurons (OXNs) in the anxiolytic effects induced by EA has not been explored.",Post-traumatic stress disorder
"METHOD
A cross-sectional study related the socio-demographic characteristics of 286 midwives with the scores obtained on two assessment scales, one for post-traumatic stress disorder (IES-R) and the other for quality of life (ProQOL V).","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"After the intervention, scores of PTSD Checklist-Civilian Version (PCL) and 32-item hypomania checklist (HCL-32) were the highest in the control group, followed by the sweet orange aromatherapy massage group, emotional release technique group and combination group (P < .05).",GAD-7 and EPDS scores also increased significantly in the emotional release technique group and the sweet orange aromatherapy massage group.,Post-traumatic stress disorder
"Meanwhile, NAFLD significantly increased the risk of developing bipolar disorder (OR: 55.08, 95%CI: 3.59-845.51, P < 0.01), OCD (OR: 61.50, 95%CI: 6.69-565.45, P < 0.01), and PTSD (OR: 52.09, 95%CI: 4.24-639.32, P < 0.01).","Results
There was no evidence of a causal impact of acne on the risk of depression [odds ratio (OR): 1.002, p = 0.874], anxiety (OR: 0.961, p = 0.49), OCD (OR: 0.979, p = 0.741), bipolar disorder (OR: 0.972, p = 0.261), and PTSD (OR: 1.054, p = 0.069).",Post-traumatic stress disorder
"Amidst these stressors, this study aims at assessing the prevalence of depression, anxiety, suicidality, post-traumatic stress disorder (PTSD) and cognitive impairment in patients undergoing hemodialysis in an academic hospital destroyed by the explosion.","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"Our study aimed to identify demographic and work-related factors, as well as clinical predictors of post-traumatic stress disorder (PTSD) and generalized anxiety disorder (GAD), in nurses employed during the COVID-19 pandemic.","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"Although post-traumatic stress disorder (PTSD) has been well-studied in this population, the purpose of the present scoping review is to provide a first synthesis of the existing literature on PTG in pediatric transplant populations.","However, there is a lack of research on post-traumatic stress disorder (PTSD) and the perceived quality of life (QOL) in patients undergoing complex aortic procedures, such as open TAAA repair.",Post-traumatic stress disorder
"Objective
We aimed to estimate the prevalence and comorbidity of post-traumatic stress symptoms (PTSS), depression and anxiety symptoms in HCWs from Fangcang shelter hospitals during the pandemic.","OBJECTIVE
To date no research has examined the potential influence of acute stress symptoms (ASD) on subsequent development of post-traumatic stress disorder (PTSD) symptoms in stroke survivors.",Post-traumatic stress disorder
"Several studies attest to the long-term consequences of COVID-19 infection on survivors' mental illness, especially in terms of high prevalence of post-traumatic stress disorder (PTSD) 1-3 months after hospitalization.","OBJECTIVE
To date no research has examined the potential influence of acute stress symptoms (ASD) on subsequent development of post-traumatic stress disorder (PTSD) symptoms in stroke survivors.",Post-traumatic stress disorder
