sentence1,sentence2,drug
"PURPOSE
To evaluate the outcomes of implanting a 150° arc-length intrastromal corneal ring segment (ICRS) using a femtosecond laser in patients with post-LASIK ectasia throughout a 5-year follow-up period.","PURPOSE
To evaluate the outcomes of patients treated with corneal allogeneic intrastromal ring segments cut with femtosecond laser (Femto-CAIRS) without concomitant corneal crosslinking.",Coma
"However, on closer inspection of the statistical testing, we cannot exclude the possibility that selecting levetiracetam rather than phenytoin for prophylaxis was associated with the following: up to a mean difference of 7.3% greater prevalence of SE; up to a mean difference of 13.9%, 12.1%, and 13.9% greater mortality during the hospital stay, and 30-, and 60-days after hospital arrival, respectively.","However, we are unable to exclude the possibility that selecting levetiracetam rather than phenytoin for prophylaxis was associated with greater prevalence of SE and mortality.",Coma
"This is a multi-center, hospital-based, cohort study from all prospectively registered pediatric (<16 years of age) trauma patients who presented to the emergency department (ED) between 2003 and 2017 at six Level 1 pediatric trauma centers.","However, no studies have used NA to characterize the interrelationships between symptoms in a cohort of patients who presented with mTBI to a U.S. Level 1 trauma center emergency department and how subacute central symptoms relate to long-term outcomes.",Coma
"Admission Glasgow Coma Score was recorded in 99% of patients with SAH, ICH, and TBI.","On presentation, he was confused with altered mental status, aggressive behavior, and a Glasgow coma scale score of 10/15.",Coma
We present the case of a 62-year-old male with COVID-19 who developed acute liver failure (ALF) and rhabdomyolysis in the absence of respiratory failure.,We present a case of an acute AOP infarct and recovery in a 68-year-old male with atrial fibrillation without anticoagulation.,Coma
We present the case of a 62-year-old male with COVID-19 who developed acute liver failure (ALF) and rhabdomyolysis in the absence of respiratory failure.,"We present the case of a 74-year-old woman, functionally independent in her daily activities, with a medical history notable for hypertension and dyslipidemia.",Coma
"CONCLUSION
TyG (optimal cut-off: 9.265) was identified as an independent risk factor for ICU and hospital all-cause mortality in first-ever strokes.","In our study, PPI was not identified as a risk factor for the occurrence of UGIB and UGIB was not associated with all-cause mortality.",Coma
We reviewed records of patients 65 years or older with preinjury AT use who presented to a Level 1 trauma center with traumatic intracranial hemorrhage between 2016 and 2023.,"However, no studies have used NA to characterize the interrelationships between symptoms in a cohort of patients who presented with mTBI to a U.S. Level 1 trauma center emergency department and how subacute central symptoms relate to long-term outcomes.",Coma
"Methods
Retrospective comparative study in a single institution of patients aged ⪰65 who presented to the emergency department after a fall with head strike between January 2018 and December 2021.","However, no studies have used NA to characterize the interrelationships between symptoms in a cohort of patients who presented with mTBI to a U.S. Level 1 trauma center emergency department and how subacute central symptoms relate to long-term outcomes.",Coma
"On arrival, the patient vomited frequently with a Glasgow Coma Scale score E3V2M5, heart rate 185 beats/min, and a blood pressure of 97/62 mmHg.","On presentation, he was confused with altered mental status, aggressive behavior, and a Glasgow coma scale score of 10/15.",Coma
Patients 5-17 years of age with severe traumatic brain injury (Glasgow Coma Scale score ≤ 8) were randomized to BMMNC or placebo (3:2).,"Patients were excluded if they had a traumatic brain injury with a Glasgow Coma Score (GCS) ≤ 8, or no BAC testing performed.",Coma
"METHODS
We performed a prospective, observational study of patients ≥18 years with severe traumatic brain injury (Glasgow Coma Scale ≤8) at a level I trauma center between 2020 and 2022.","While there is no level I recommendation for intracranial pressure (ICP) monitoring, it is typically indicated for patients with severe traumatic brain injury (TBI) with a Glasgow Coma Scale (GCS) score of 3-8 (class II).",Coma
We examined the association between intubation and 30-d in-hospital mortality in trauma patients arriving with a GCS score ≤8 in an Indian trauma registry.,"CONCLUSIONS
Intubation within an hour of arrival with a GCS score ≤8 after major trauma was not associated with differences in-hospital mortality.",Coma
We report a case of cervical intramedullary spinal cord abscess in a 74-year-old diabetic male with a 3-day history of neck pain and weakness in the right lower extremity.,"We present the case of a 74-year-old woman, functionally independent in her daily activities, with a medical history notable for hypertension and dyslipidemia.",Coma
"The mean score on the Glasgow Coma scale was 11.2 on admission 11.6 after 48 hours, and 12.2 on discharge.","On presentation, he was confused with altered mental status, aggressive behavior, and a Glasgow coma scale score of 10/15.",Coma
