sentence1,sentence2,drug
"We also found evidence of potential causal effect from genetic liability to higher educational attainment to higher risk of LCU [OR, 95% CIIVW  = 1.35 (1.11, 1.66), P = 0.0033].","However, we found no evidence of an effect of genetic liability to LCU on educational attainment [MR, 95% CIIVW  = 0.5 month (-1.5 month, 2.6 month), P = 0.6032].",Attention deficit hyperactivity disorder
"FINDINGS
Using univariable MR, we found evidence of a potential causal effect of genetic liability to CUD on a lower educational attainment [MR, 95% confidence interval (CI)inverse variance weighted (IVW)  = -1.2 month (-1.9 month, -0.5 month); P = 0.0008].","However, we found no evidence of an effect of genetic liability to LCU on educational attainment [MR, 95% CIIVW  = 0.5 month (-1.5 month, 2.6 month), P = 0.6032].",Attention deficit hyperactivity disorder
Associations between insecticide exposure variables and an ADHD score ≥90th percentile were analyzed using logistic regression for all children and stratified by sex.,No statistically significant associations were observed between insecticide metabolites and an ADHD score ≥90th percentile at age 5.,Attention deficit hyperactivity disorder
"This review summarizes clinical trials demonstrating the effectiveness of Alpha-2 agonists in reducing symptoms of inattention, hyperactivity, and impulsivity in children with ADHD.",This review found limited evidence of the psychometric performance of MAUIs used in children and adolescents with MHPs.,Attention deficit hyperactivity disorder
"CONCLUSION
Greater neighborhood socioeconomic deprivation was associated with prolonged time to pain control for non-White children admitted after injury and managed nonoperatively.","Insurance status, as a marker of socioeconomic status, was not associated with time to pain control ( p = 0.29).",Attention deficit hyperactivity disorder
"BACKGROUND AND OBJECTIVES
The efficacy and safety of modified-release methylphenidate (MPH-MR) in the treatment of attention-deficit/hyperactivity disorder (ADHD) have been shown in both pediatric and adult Caucasian patients.","BACKGROUND
Bisphenol A (BPA) has been linked to attention-deficit/hyperactivity disorder (ADHD) symptoms, but the effects on cognitive functions and functionality in adult ADHD have not been investigated.",Attention deficit hyperactivity disorder
"Conclusion
This study provides valuable insights into the effects of psychostimulant medications on the weight of children and adolescents diagnosed with ADHD in the UAE.",These findings showed the positive effects of DR on the language development of children with ADHD and highlight the importance of involving siblings in home literacy activities to facilitate the language development of these children.,Attention deficit hyperactivity disorder
"Meta-analysis of change in ADHD symptom severity demonstrated a significant effect in favor of stimulants over placebo (standardized mean difference = -0.59; 95% CI -0.77, -0.41; p < 0.0001).","In contrast, when using a quantitative analysis of the general symptoms of ADHD, the data showed no significant difference when comparing placebo with caffeine (standardized mean difference -0.12; 95% CI -0.44 to 0.20; p = 0.45; I2 = 0%).",Attention deficit hyperactivity disorder
"BACKGROUND AND OBJECTIVES
The efficacy and safety of modified-release methylphenidate (MPH-MR) in the treatment of attention-deficit/hyperactivity disorder (ADHD) have been shown in both pediatric and adult Caucasian patients.","Background
Studies have shown that young maternal age at childbirth can increase the risk of attention-deficit/hyperactivity disorder (ADHD) in offspring, but a study of the U.S. population has not been reported.",Attention deficit hyperactivity disorder
We compared the hazard of neurodevelopmental disorders during the entire follow-up period between offspring born to mothers with and without gestational diabetes mellitus using multivariable Cox regression models.,No associations between gestational diabetes mellitus and any neurodevelopmental disorders or their combinations were observed among offspring born to mothers of other racial/ethnic groups.,Attention deficit hyperactivity disorder
"In contrast, PSM during adolescence in those not treated with stimulants for ADHD had significantly higher odds of transitioning to later cocaine or methamphetamine initiation and use during young adulthood compared with population controls (adjusted odds ratio, 2.64 [95% CI, 1.54-4.55]).","RESULTS
There were no statistically significant differences between adolescents who used stimulant therapy for ADHD compared to those who used only nonstimulant medications and population controls in their adjusted odds of nonmedical stimulant use incidence or prevalence during young adulthood, after adjusting for baseline covariates.",Attention deficit hyperactivity disorder
Fifty-four percent of the participants have participated in workshops or seminars on neurodevelopmental disorders and 39.0% believed that schools and institutions are sufficiently equipped to support children with ADHD.,The results showed that there was no significant difference in social support scores between parents of children with neurodevelopmental disorders based on the type of child disorder and the gender of the parents (p > 0.05).,Attention deficit hyperactivity disorder
"Subgroup analysis found that a single exposure to general anesthesia in childhood was associated with an increased risk of developing attention-deficit/hyperactivity disorder (RR = 1.29, 95% CI, 1.19-1.40, P < 0.001; I2 = 2.6%), and the risk of attention-deficit/hyperactivity disorder was further increased after multiple general anesthesia exposures (RR = 1.61, 95% CI, 1.32-1.97, P < 0.001; I2 = 57.6%).","Prenatal exposure to lamotrigine, carbamazepine, and oxcarbazepine was not associated with an increased risk of psychiatric disorders, whereas associations were found for prenatal exposure to topiramate with attention-deficit/hyperactivity disorder (aHR, 2.38; 95% CI, 1.40-4.06) and exposure to levetiracetam with anxiety (aHR, 2.17; 95% CI, 1.26-3.72) and attention-deficit/hyperactivity disorder (aHR, 1.78; 95% CI, 1.03-3.07).",Attention deficit hyperactivity disorder
