sentence1,sentence2,drug
The objective of this experiment was to evaluate the effects of orally administered Megasphaera elsdenii NCIMB 41125 as a microbial supplement in steers abruptly transitioned from a receiving diet with 4% dietary starch (dry matter [DM] basis) to a growing diet with 38% dietary starch (DM basis).,"Compared to non-supplemented steers, oral administration of Megasphaera elsdenii NCIMB 41125 did not improve growth performance or efficiency of dietary NE utilization in steers transitioned from a receiving diet containing 4% starch (DM basis) to a growing diet containing 38% starch (DM basis).",Corn
"Discussion
This study demonstrated that the mixed meal (rapeseed meal, cotton meal, and sunflower meal) as a substitute for soybean meal in the diet had no significant negative effects on the growth performance, nutrient apparent digestibility, serum immunoglobulins, serum antioxidant capacity, intestinal permeability, short-chain fatty acid content, and diversity of gut microbiota of finishing pigs.","Concordantly, there is no significant effect of mixed meal (rapeseed meal, cotton meal, and sunflower meal) replacing soybean meal in the diet on the serum antioxidant capacity, such as total antioxidant capacity (T-AOC), catalase (CAT), and malondialdehyde (MDA) levels of finishing pigs.",Corn
"Steers were sourced from a previously conducted 49 d feedlot receiving period experiment and abruptly transitioned from a receiving diet including soybean hulls and wheatlage containing 4% dietary starch (DM basis) to a growing diet including high-moisture ear corn, dry-rolled corn, and wheatlage containing 38% dietary starch (DM basis).","Compared to non-supplemented steers, oral administration of Megasphaera elsdenii NCIMB 41125 did not improve growth performance or efficiency of dietary NE utilization in steers transitioned from a receiving diet containing 4% starch (DM basis) to a growing diet containing 38% starch (DM basis).",Corn
"Discussion
This study demonstrated that the mixed meal (rapeseed meal, cotton meal, and sunflower meal) as a substitute for soybean meal in the diet had no significant negative effects on the growth performance, nutrient apparent digestibility, serum immunoglobulins, serum antioxidant capacity, intestinal permeability, short-chain fatty acid content, and diversity of gut microbiota of finishing pigs.","However, there is no significant effect of the mixed meal (rapeseed meal, cotton meal, and sunflower meal) replacing soybean meal in the diet on the serum interleukin 1β (IL-1β), interleukin 8 (IL-8), tumor necrosis factor-alpha (TNF-α), immunoglobulin A (IgA), immunoglobulin G (IgG), and immunoglobulin M (IgM) concentrations (P > 0.05).",Corn
"In experiment 1, DM, organic matter (OM), neutral detergent fiber (NDF), and acid detergent fiber (ADF) intake did not differ (P ≥ 0.11) between diets; however, starch intake was greater (P = 0.03) for heifers fed CON + WM compared with CON.","Also, dietary buffer use did not affect the ruminal fermentation metabolites and pH; however, an improvement of the apparent total tract digestibility of dry matter (DM), organic matter (OM), neutral fiber detergent (NDF), and acid fiber detergent (ADF) were found for animals fed with dietary buffer.",Corn
The treatments were defined by partial replacement of flint corn by orange molasses in the diet with 90% of concentrate and 10% of Cynodon spp.,The treatments were a corn or wheat and soybean meal-based diet without or with supplementation of 0.9 kg/MT of PB.,Corn
"This study demonstrated that the miscellaneous meals (rapeseed meal, cottonseed meal, and sunflower seed meal) as a substitute for soybean meal in the diet had no significant negative effects on the growth performance, apparent nutrient digestibility, serum amino acid content, or diversity of fecal microbiota in 50-75 kg growing pigs.","However, there is no significant effect of the mixed meal (rapeseed meal, cotton meal, and sunflower meal) replacing soybean meal in the diet on the serum interleukin 1β (IL-1β), interleukin 8 (IL-8), tumor necrosis factor-alpha (TNF-α), immunoglobulin A (IgA), immunoglobulin G (IgG), and immunoglobulin M (IgM) concentrations (P > 0.05).",Corn
"Discussion
This study demonstrated that the mixed meal (rapeseed meal, cotton meal, and sunflower meal) as a substitute for soybean meal in the diet had no significant negative effects on the growth performance, nutrient apparent digestibility, serum immunoglobulins, serum antioxidant capacity, intestinal permeability, short-chain fatty acid content, and diversity of gut microbiota of finishing pigs.","Results
Our findings revealed no significant impact of replacing soybean meal with the mixed meal (rapeseed meal, cotton meal, and sunflower meal) on the ADG (Average daily gain), ADFI (Average daily feed intake), and F/G (Feed gain ratio) (P > 0.05), or crude protein, crude fat, and gross energy (P > 0.05) in the diet of finishing pigs.",Corn
The recoveries of OTA from corn were 95.89%-101.08% for the fluorescence immunoassay.,"However, there aren't specific recommendations for the use of inoculation in baby corn crop.",Corn
The seeds (25 %) also slowed DMBA-induced neoplasm expansion in mammary ducts as compared to rats of DMBA group.,"Moreover, it also decreased the TNF-α expression in the cardiac muscle and thoracic aorta of 2K1C when compared to the SO group.",Corn
"Objective
This study aimed to determine the maximum inclusion rate of low-oil corn distillers dried grains with solubles (DDGS) in swine diets with a focus on growth performance and pork quality.","In general, the findings of this research indicated that the inclusion of 40 g kg-1 of SBP in the diet had a negative impact on performance and other physiological parameters.",Corn
"However, pigs receiving the corn-SBM diets had heavier HCW, greater carcass yields, total carcass gain, and daily carcass gain (P < 0.01) compared to pigs fed the 40% DDGS diets regardless of SID Trp:Lys ratio.","However, when compared to a corn-SBM diet, increasing the SID Trp:Lys ratio in 40% DDGS diets did not correct the growth performance or carcass characteristics of pigs.",Corn
The oral administration of PdEOs and eugenol combined with corn oil on ICR mice (p < 0.01) confirmed a strong anti-hypertriglyceridemic activity at 3 and 4.5 h post-treatment.,"When corn oil was added back to de-oiled MDGS, there was a negative impact on digestibility of OM (p < 0.01) and NDF (p = 0.07) compared with DODGS, FFDGS, and CON.",Corn
