sentence1,sentence2,drug
"Supporting this, the selected plant methanol extracts of leaf, stem callus, and tuber have shown well in vitro antibacterial activity against Bacillus subtilis, Escherichia coli, and Proteus vulgaris.","However, reports on the in vitro antibacterial activity of extracts from the fruits of this plant have not shown clinical relevance against the pathogen P. gingivalis.",Quercetin
This study evaluated the in vitro antibacterial activity of 16 flavonoids against bovine mastitis pathogens.,"However, reports on the in vitro antibacterial activity of extracts from the fruits of this plant have not shown clinical relevance against the pathogen P. gingivalis.",Quercetin
"This study aimed to evaluate the anti-inflammatory, wound-healing, analgesic, and antipyretic potential of its ethanol extract (PAAPEE) in vivo for the first time.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
The combination of 50% N fertilizer treatment and the biostimulant A. saligna FAE (4%) seems to improve coriander plant growth while simultaneously lowering N fertilizer consumption.,The treatment A. saligna FAE at 6% + 50% N fertilizer did not observe significant improvement in the growth parameters of coriander plants because of the anticipated allelopathic effects.,Quercetin
"This ex vivo study aimed to evaluate the anti-inflammatory potential of a nutraceutical compound of HBQ-Complex® (H. erinaceus, berberine, and quercetin), biotin, and niacin in inflammatory bowel disease patients.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"Herein, we determined the potential functions of the flavonoid-enriched fraction from Seabuckthorn, which was named SBF, in treating major depressive disorder in mice.","However, the studies on potential functions of Seabuckthorn and/or its flavonoid-enriched fraction in treating neurodegenerative disorders are limited.",Quercetin
"The herbal combination was tested for broad spectrum antimicrobial activity against Streptococcus mutans, Bacillus licheniformis, Lactobacillus plantarum, Escherichia coli, Pseudomonas aeruginosa, and Citrobacter freundii.","The HDEO, BLM, and BLB exhbitied no interesting antimicrobial activity against Bacillus cereus, Bacillus subtilis, Staphylococcus aureus, Escherichia coli, or Pseudomonas aeruginosa.",Quercetin
"By enhancing quercetin bioaccessibility and targeting release in the small intestine, the emulsion system demonstrates significant inhibition of starch digestion and glucose spikes through both in vitro and in vivo experiments.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"CONCLUSION
These findings suggest that Echinacoside, Quercetin, Homoplantaginin, Tricin-7-O-glucoside, Apigenin and Luteolin-7-O-beta-d-glucopyranoside from Lagotis brachystachya have promising potential as natural anti-inflammatory agents for the treatment of inflammatory-related diseases.","However, few findings have been obtained from clinical trials, and few in vitro and animal studies suggest that graviola preparations have antioxidant properties; as such, the antioxidant potential of graviola, and its safety, remain unclear.",Quercetin
This study underscores the potential of natural compounds in overcoming antibiotic resistance and suggests that phytochemical-antibiotic synergism could be a viable strategy to combat multidrug-resistant bacterial infections.,"This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"CONCLUSION
This study highlights the promising potential of a combination therapy involving BHB and QCT in mitigating angiogenesis and MDR4 expression in hypoxia-induced ccRCC cells.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"PCA and Que improved transepithelial electrical resistance (TEER) (P < 0.001) and reduced fluorescein isothiocyanate-labeled dextran (FD4) flux (P < 0.001), and enhanced membrane protein abundance of occludin, claudin-1 and ZO-1 (P < 0.05), and rescued distribution of these tight junction proteins (P < 0.05) after ETEC infection.","Moreover, PCA and Que reduced protein abundance of nod-like receptor protein 3 (NLRP3), nod-like receptors family CARD domain-containing protein 4 (NLRC4), apoptosis-associated speck-like protein containing a CARD (ASC), gasdermin D (GSDMD) and caspase-1 (P < 0.05) after ETEC infection.",Quercetin
The study aimed at elucidating antiproliferative and chemo-preventive potential of sweet cherries (P. avium) against the in vivo hepatocarcinoma model.,"This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
The treatment of 3-methyladenine and rapamycin confirmed the protective function of autophagy in H2O2-induced granulosa cells.,"Uterine aging impairs the function of the uterine myometrium, neurofibers of the human uterus, and human endometrium.",Quercetin
Phenolic-enriched extracts from seed coats of black and pinto beans showed good antioxidant and anti-inflammatory potential that warrants in vitro and in vivo studies.,"However, few findings have been obtained from clinical trials, and few in vitro and animal studies suggest that graviola preparations have antioxidant properties; as such, the antioxidant potential of graviola, and its safety, remain unclear.",Quercetin
"The results indicated that dietary supplementations with 500 and 1,000 mg/kg quercetin improved the physicochemical properties and eating quality of yellow-feathered broiler chicken breast meat during 12 to 24 h postslaughter.","This study aimed to improve the eating quality of yellow-feathered broiler chicks by feeding them corn-soybean meal diets supplemented with 250, 500, and 1,000 mg/kg quercetin.",Quercetin
"Conclusion
Overall, the butanol and ethyl acetate fractions of S. mombin stem bark ameliorate type 2 diabetes in Drosophila.","However, the antidiabetic efficacy of S. mombin stem bark in high-sucrose diet-induced Drosophila melanogaster model has not been explored.",Quercetin
"In conclusion, our findings indicate that there are variations in compositions among the three wolfberries, with flavonoids being the most abundant, and in vitro studies also confirmed the anti-inflammatory potential of quercetin.","However, few findings have been obtained from clinical trials, and few in vitro and animal studies suggest that graviola preparations have antioxidant properties; as such, the antioxidant potential of graviola, and its safety, remain unclear.",Quercetin
Aim This study aimed to design an improved bioavailable form of QU (liposomes) and examine the impact of its treatment on the alleviation of type 1 diabetes induced by STZ in rats.,"AIM OF THE STUDY
Yet, the anti-aging properties of TCF have not been specifically studied, this study aims to fill this gap by investigating the effects of TCF extract (TCFE) in an aging mouse model, particularly focusing on its role in inhibiting microglial activation and elucidating its underlying anti-aging mechanisms.",Quercetin
"This study investigates the potential of flavonoids to target YBX1 PPIs, providing insights into novel therapeutic strategies for YBX1-driven cancers.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"The discovered combinations of AmB with plant molecules that enhance its pore-forming ability in ergosterol-enriched membranes, seem to be promising for further drug development in terms of the toxicity decrease and efficacy improvement.","However, there has not been significant progress accomplished in terms of the evaluation of the dosage form so that test results for promising activities like antidiabetic, antifungal, and antiviral can be carried out into further research.",Quercetin
This study investigated the pharmacological basis for antidiabetic effect of the ethanolic extract of F. johannis leaves using in vitro and in vivo experimental models.,"In this study, we investigated the ethanolic extraction of the leaves of a very common but little studied plant species, Elaeagnus x submacrophylla Servett.",Quercetin
This study was designed to explore the complex and synergistic effects of phytochemicals in a plant-based multivitamin/mineral supplement (PBS) on oxidative stress and inflammation in healthy individuals.,"This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
"Regarding natural products, resveratrol, curcumin, and quercetin have demonstrated in vitro antiviral activity against SARS-CoV-2 and in vivo, a nebulized formulation has demonstrated to alleviate the respiratory symptoms of COVID-19.","However, studies in fish have investigated only a few ligands in experimental fish species, and the AHR response of marine fish to natural AHR ligands of various other structures has not been thoroughly investigated.",Quercetin
The treatment of 3-methyladenine and rapamycin confirmed the protective function of autophagy in H2O2-induced granulosa cells.,"The treatment with Q3G suppressed the transcriptional and protein expressions of melanogenesis-related enzymes TYR, tyrosinase related protein-1 (TRP-1), and TRP-2, along with the melanogenic transcription factor microphthalmia-associated transcription factor (MITF) in B16F10 cells.",Quercetin
"Finally, combined treatment of resistant osteosarcoma cells with doxorubicin and quercetin, a known inducer of mitochondrial biogenesis, re-sensitizes the doxorubicin effect in resistant cells.","The treatment with Q3G suppressed the transcriptional and protein expressions of melanogenesis-related enzymes TYR, tyrosinase related protein-1 (TRP-1), and TRP-2, along with the melanogenic transcription factor microphthalmia-associated transcription factor (MITF) in B16F10 cells.",Quercetin
"This study strived to evaluate the in vitro cytoprotective activity of atorvastatin (ATR), and quercetin (QCT) alone and in combination against diabetic nephropathy.","This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
This study investigates the novel application of Phenyl Boronic Acid Functionalized-Quercetin nanoparticles (PBA-Qt NPs) in the context of antibacterial and diabetic wound healing.,"This study investigates the potential of a quercetin-based emulsion system to moderate starch digestion and manage blood glucose levels, addressing the lack of in vivo research.",Quercetin
