sentence1,sentence2,drug
"PHLPP1 knockdown or an Mst1 inhibitor reduced hypoxia/reoxygenation (HR)-induced cardiomyocyte damage in H9c2 cells exposed to normal glucose, but the effect was abolished by a PI3K/Akt inhibitor.","However, the effect of PHLPP1 knockdown in reducing posthypoxic cellular damage was nullified by either Stattic or LY294002.",Leucine
"Here, we report a mutant of RGA5 named RGA5HMA5 that confers complete resistance in transgenic rice plants to the M. oryzae strains expressing the noncorresponding effector AVR-PikD.","Here, we also demonstrated that ROS could not act as a strong systemic signal for inducing high resistance to Bgt in wheat, although it induced the expression of pathogenesis-related genes.",Leucine
"RESULTS
By genome-wide association studies of 419 accessions of the upland cotton, Gossypium hirsutum, we identify ten loci that are associated with resistance against Verticillium wilt.","Our results suggest that autoantibodies against NMDAR, LG1, GABABR, DPPX, AMPAR1/R2, and CASPR2 are not associated with the pathogenesis of chronic schizophrenia.",Leucine
"This study aimed to determine the effects of resistance training combined with a probiotic supplement enriched with vitamin D and leucine on sestrin2, oxidative stress, antioxidant defense, and mitophagy markers in aged Wistar rats.","Objective
Due to the lack of information on the effects of nutritional guidance focused on leucine intake in patients undergoing maintenance cardiac rehabilitation, this study investigated on plasma leucine concentrations, lean body mass, and muscle strength.",Leucine
"A novel A1663T transversion was detected in 97.0% of the mites, resulting in a non-synonymous substitution from methionine to leucine, M918L, a mutation known to confer kdr in other arthropods.","Substitution of this residue with leucine, methionine or cysteine almost inactivated transport function of COPT1, implying that His43 fails to serves as a copper ligand in the regulation of COPT1 activity.",Leucine
"After challenge with Nocardia seriolae and polyinosinic polycytidylic acid (Poly[I:C]), the expression of TLR21 mRNA was upregulated or downregulated in all tissues tested.","However, the expression of LRG1 expression in the serum and cancer tissues of patients with RCC has not been reported.",Leucine
We evaluated the efficacy of chimeric antigen receptor (CAR) T cell-mediated cancer cell lysis potential in the immune microenvironment of BCAA supplementation and deletion.,The limited availability of cytokines in solid tumours hinders maintenance of the antitumour activity of chimeric antigen receptor (CAR) T cells.,Leucine
"OBJECTIVE
The aim of this study was to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of the potent, selective, CNS-penetrant LRRK2 inhibitor BIIB122 (DNL151) in healthy participants and patients with PD.","Objective
Due to the lack of information on the effects of nutritional guidance focused on leucine intake in patients undergoing maintenance cardiac rehabilitation, this study investigated on plasma leucine concentrations, lean body mass, and muscle strength.",Leucine
"The aim of this study was to investigate the effects of krill oil supplementation, compared to placebo oil (high oleic sunflower oil added astaxanthin), in vivo on energy metabolism and substrate turnover in human skeletal muscle cells.","Objective
Due to the lack of information on the effects of nutritional guidance focused on leucine intake in patients undergoing maintenance cardiac rehabilitation, this study investigated on plasma leucine concentrations, lean body mass, and muscle strength.",Leucine
"Introduction
To investigate the effects of acupuncture on endogenous metabolites in the liver of type 2 diabetes mellitus (T2DM) with nonalcoholic fatty liver disease (NAFLD) mice-based metabolomics.",There is still little evidence regarding the amount and distribution of protein and leucine intake with meals in the elderly with type 2 diabetes (T2D).,Leucine
