sentence1,sentence2,drug
"This study evaluated the effects of Se supplementation on clinical outcomes, metabolic profiles, and uterine artery PI on Doppler ultrasound in high-risk mothers in terms of PE screening with quad marker.","Data on the effects of selenium (Se) supplementation on clinical outcomes, metabolic profiles, and pulsatility index (PI) in high-risk mothers in terms of preeclampsia (PE) screening with quadruple tests are scarce.",Selenium
"In addition, 0.60 and 1.20 g/Kg SePCH increased the mRNA expression levels of selenocysteine lyase, selenophosphate synthase 1, 15 kDa selenoprotein, selenoprotein T2, selenoprotein H, selenoprotein P and selenoprotein K in the fish liver and intestine compared to the controls.","However, adequate SePCH significantly decreased levels of malondialdehyde and H2O2 and the mRNA expression levels of kelch-like ECH-associated protein 1a and kelch-like ECH-associated protein 1b in the fish liver and intestine compared to the controls.",Selenium
"An inverse relationship was found between risk of DN and following mineral patterns and fat-soluble vitamin patterns in adjusted model (ORs = 0.51 [95% CI 0.28-0.95], p = .03) and (ORs = 0.53 [95% CI 0.29-0.98], p = .04), respectively.",No relationship was seen between water-soluble vitamin patterns and risk of DN in crude and adjusted model but the significance was decreased in adjusted model.,Selenium
"Se supplementation for 12 weeks in high-risk pregnant women in terms of PE screening with quad marker had beneficial effects on serum Se level, some metabolic profiles, uterine artery PI, and mental health.","Data on the effects of selenium (Se) supplementation on clinical outcomes, metabolic profiles, and pulsatility index (PI) in high-risk mothers in terms of preeclampsia (PE) screening with quadruple tests are scarce.",Selenium
"Conclusion
We provide consistent evidence for the causal effect of increased selenium and decreased iron levels on CAD in patients with diabetes, highlighting the necessity of micronutrient monitoring and application in these patients.","No consistent evidence was found for the causal associations between phosphorus and zinc levels, and the risk of CAD in patients with diabetes.",Selenium
This study aims to investigate the effects of dietary mineral nanoparticles (selenium or zinc) and/or Spirulina platensis (SP) independently and in combination on stressed growing rabbits.,"Considering this situation, this study aims to provide baseline data about the nutritional composition and the latest evidence regarding the beneficial effects of Atlantic bluefin tuna consumption.",Selenium
"Similarly, the mRNA expression levels of antimicrobial peptides (ALF-1, Crus-1, and LYS), ERK, and Relish genes were also observed to be the highest in the 1.5 mg/kg Bio-Se group compared with the other groups.","However, adequate SePCH significantly decreased levels of malondialdehyde and H2O2 and the mRNA expression levels of kelch-like ECH-associated protein 1a and kelch-like ECH-associated protein 1b in the fish liver and intestine compared to the controls.",Selenium
"Meanwhile, 0.30 and 0.60 g/kg SeY elevated the mRNA levels of selenoprotein T2 (SEPT2), selenoprotein H (SEPH), selenoprotein S (SEPS) and selenoprotein M (SEPM) in the liver and intestine compared with the SeY deficient groups (P < 0.05).","However, adequate SePCH significantly decreased levels of malondialdehyde and H2O2 and the mRNA expression levels of kelch-like ECH-associated protein 1a and kelch-like ECH-associated protein 1b in the fish liver and intestine compared to the controls.",Selenium
The aim of this study is to investigate the alleviating effect of selenium-enriched Lactobacillus plantarum (SL) 6076 on colitis and liver inflammation induced by sodium dextran sulfate (DSS) in mice and its potential molecular mechanisms.,"However, the effect of nano-selenium on biological mechanism of goblet cells associated with autophagy is largely unknown.The purpose of this study was to investigate the effect of nano-selenium on the mucosal immune-defense mechanism of goblet cells (GCs) in the small intestine of laying hens.The autophagy was determined by using specific markers.",Selenium
"In conclusion, this study confirmed that Nano-Se could alleviate oxidative stress, apoptosis, and DNA damage in the testis of mice with Cu excess, thereby protecting the spermatogenesis disorder induced by Cu.","However, oxidative stress, cell apoptosis, and autophagy caused by the combination of BPA and low-Se, have not been studied in the bursa of Fabricius of the immune organ of poultry.",Selenium
