sentence1,sentence2,drug
"Therefore, we investigated the safety and efficacy of oxycodone in eight patients with end-stage heart failure complicated by chronic kidney disease.",Neither the efficacy nor safety of elobixibat has been investigated in the treatment of chronic constipation in patients with heart failure (HF).,Constipation
"Magnesium oxide improved stool frequency (MD 3.72 bowel movements/week [1.41, 6.03]; p = 0.002) and consistency (MD 1.14 Bristol points [0.48, 1.79]; p = 0.0007).","Kiwifruit supplements did not impact stool frequency (MD 0.24 bowel movements/week [-0.32, 0.80]; p = 0.40) or consistency (MD -0.11 Bristol points [-0.31, 0.09], p = 0.29).",Constipation
"CASE PRESENTATION
A 17-year-old female presented with 4 months history of progressive abdominal distension associated with abdominal pain, yellow discoloration of eyes, and occasional constipation.","CASE PRESENTATION
A 36-year-old female, with no known comorbids and no significant past medical and surgical history presented with acute abdominal pain, multiple episodes of vomiting, and absolute constipation.",Constipation
"Therefore, we investigated the safety and efficacy of oxycodone in eight patients with end-stage heart failure complicated by chronic kidney disease.",These findings in Japanese patients are consistent with multi-regional phase 3 non-inferiority trials demonstrating the efficacy and safety of ceftazidime-avibactam in patients with cIAIs.,Constipation
This study assessed the efficacy and safety of olorinab to treat abdominal pain in patients with irritable bowel syndrome with diarrhea (IBS-D) and constipation (IBS-C).,"CONCLUSION
This first French real-world study related to migraine prevention with CGRP-mAbs confirms effectiveness and safety of erenumab in patients with extreme unmet needs.",Constipation
Participants with poor sleep and high genetic risk exhibited approximately a 60% increase in the risk of digestive diseases.,Recent studies have challenged the notion that a high dietary fiber intake confers an increased risk of hyperkalemia or nutritional deficits in children with kidney diseases.,Constipation
"BACKGROUND
We investigated the efficacy and safety of twice-daily bilayer sustained-release tramadol hydrochloride tablets (35% immediate-release; 65% sustained-release) in patients with postherpetic neuralgia.",These findings in Japanese patients are consistent with multi-regional phase 3 non-inferiority trials demonstrating the efficacy and safety of ceftazidime-avibactam in patients with cIAIs.,Constipation
"Chinese herbal medicines had significantly higher effectiveness in treating pressure ulcer wound (OR, 5.94; 95% CI, 3.94-8.95, P < .001), fatigue (OR, 2.81; 95% CI, 1.78-4.41, P < .001), and effectiveness on treating constipation (OR, 2.59; 95% CI, 1.57-4.25, P < .001) compared to control in subjects with cancer-related symptoms.","However, Chinese herbal medicines had no significant effect on the effectiveness of treating anorexia compared to control in subjects with cancer-related symptoms.",Constipation
This study assessed the efficacy and safety of olorinab to treat abdominal pain in patients with irritable bowel syndrome with diarrhea (IBS-D) and constipation (IBS-C).,These findings in Japanese patients are consistent with multi-regional phase 3 non-inferiority trials demonstrating the efficacy and safety of ceftazidime-avibactam in patients with cIAIs.,Constipation
"CASE PRESENTATION
We report the case of a 40-year-old male with a 5-year history of heroin abuse who presented with diffuse abdominal pain, vomiting, and cessation of gas and stool passage for 10 days.","Here, we report a case of a 42-year-old male with no medical history who presented with exertional dyspnea, lower leg swelling, facial puffiness, constipation, and weight gain.",Constipation
"Diarrhea or loose stools analysis showed that there was a statistically significant difference between vonoprazan and proton pump inhibitors (PPIs) treatment (95 % CI = 0.661-0.966, p = 0.021).","Compared with proton pump inhibitors, oral vonoprazan treatment showed no significant increase in the incidence of adverse effects (95 % CI = 0.987-1.095, p = 0.141).",Constipation
"Our case is of a healthy 3-year-old male who presented with six days of generalized abdominal pain associated with constipation, anorexia, insomnia, and non-bloody, non-bilious emesis.","Here, we report a case of a 42-year-old male with no medical history who presented with exertional dyspnea, lower leg swelling, facial puffiness, constipation, and weight gain.",Constipation
